RAM 5286/31760MB (lfb 5764x4MB) SWAP 0/15880MB (cached 0MB) CPU [24%@1804,21%@1804,30%@1804,28%@1804,off,off,off,off] EMC_FREQ 42%@2133 GR3D_FREQ 98%@905 APE 150 MTS fg 0% bg 3% AO@40C GPU@42.5C iwlwifi@41C Tdiode@42.75C PMIC@100C AUX@40C CPU@41.5C thermal@41.2C Tboard@39C GPU 7721/7759 CPU 1234/1253 SOC 4320/4366 CV 0/0 VDDRQ 2315/2295 SYS5V 4607/4611
RAM 5286/31760MB (lfb 5764x4MB) SWAP 0/15880MB (cached 0MB) CPU [18%@1804,27%@1804,20%@1804,39%@1804,off,off,off,off] EMC_FREQ 42%@2133 GR3D_FREQ 97%@905 APE 150 MTS fg 0% bg 4% AO@39.5C GPU@43C iwlwifi@41C Tdiode@42.5C PMIC@100C AUX@40C CPU@41.5C thermal@41.2C Tboard@39C GPU 7876/7762 CPU 1234/1252 SOC 4474/4368 CV 0/0 VDDRQ 2315/2295 SYS5V 4607/4610
RAM 5286/31760MB (lfb 5764x4MB) SWAP 0/15880MB (cached 0MB) CPU [19%@1773,31%@1804,31%@1804,20%@1804,off,off,off,off] EMC_FREQ 42%@2133 GR3D_FREQ 96%@905 APE 150 MTS fg 0% bg 3% AO@40C GPU@43C iwlwifi@40C Tdiode@42.5C PMIC@100C AUX@40C CPU@41.5C thermal@41.35C Tboard@39C GPU 7876/7765 CPU 1234/1252 SOC 4474/4371 CV 0/0 VDDRQ 2315/2296 SYS5V 4607/4610
RAM 5286/31760MB (lfb 5764x4MB) SWAP 0/15880MB (cached 0MB) CPU [26%@1804,30%@1804,21%@1804,24%@1804,off,off,off,off] EMC_FREQ 42%@2133 GR3D_FREQ 99%@905 APE 150 MTS fg 0% bg 3% AO@40C GPU@42.5C iwlwifi@43C Tdiode@42.75C PMIC@100C AUX@40C CPU@41.5C thermal@41.35C Tboard@39C GPU 7876/7767 CPU 1234/1252 SOC 4320/4370 CV 0/0 VDDRQ 2315/2296 SYS5V 4607/4610
RAM 5286/31760MB (lfb 5764x4MB) SWAP 0/15880MB (cached 0MB) CPU [22%@1804,28%@1804,34%@1804,25%@1804,off,off,off,off] EMC_FREQ 42%@2133 GR3D_FREQ 99%@905 APE 150 MTS fg 0% bg 3% AO@40C GPU@43C iwlwifi@41C Tdiode@42.5C PMIC@100C AUX@40C CPU@41.5C thermal@41.35C Tboard@39C GPU 7876/7770 CPU 1234/1251 SOC 4320/4368 CV 0/0 VDDRQ 2314/2297 SYS5V 4607/4610
RAM 5286/31760MB (lfb 5764x4MB) SWAP 0/15880MB (cached 0MB) CPU [28%@1771,26%@1804,23%@1804,31%@1804,off,off,off,off] EMC_FREQ 42%@2133 GR3D_FREQ 97%@905 APE 150 MTS fg 0% bg 3% AO@39.5C GPU@43C iwlwifi@40C Tdiode@42.75C PMIC@100C AUX@40C CPU@41.5C thermal@41.35C Tboard@39C GPU 7876/7772 CPU 1234/1251 SOC 4320/4367 CV 0/0 VDDRQ 2315/2297 SYS5V 4607/4610
RAM 5286/31760MB (lfb 5764x4MB) SWAP 0/15880MB (cached 0MB) CPU [21%@1804,29%@1804,22%@1804,37%@1804,off,off,off,off] EMC_FREQ 42%@2133 GR3D_FREQ 97%@905 APE 150 MTS fg 0% bg 4% AO@40C GPU@43C iwlwifi@41C Tdiode@42.75C PMIC@100C AUX@40C CPU@41.5C thermal@41.5C Tboard@39C GPU 7876/7774 CPU 1234/1250 SOC 4474/4370 CV 0/0 VDDRQ 2315/2298 SYS5V 4607/4610
RAM 5286/31760MB (lfb 5764x4MB) SWAP 0/15880MB (cached 0MB) CPU [26%@1771,32%@1804,21%@1804,44%@1804,off,off,off,off] EMC_FREQ 42%@2133 GR3D_FREQ 99%@905 APE 150 MTS fg 0% bg 3% AO@40C GPU@43C iwlwifi@41C Tdiode@42.75C PMIC@100C AUX@40C CPU@42C thermal@41.35C Tboard@39C GPU 7876/7776 CPU 1234/1250 SOC 4320/4369 CV 0/0 VDDRQ 2315/2298 SYS5V 4607/4610
RAM 5286/31760MB (lfb 5764x4MB) SWAP 0/15880MB (cached 0MB) CPU [22%@1768,18%@1774,30%@1777,57%@1774,off,off,off,off] EMC_FREQ 42%@2133 GR3D_FREQ 99%@905 APE 150 MTS fg 0% bg 3% AO@39.5C GPU@43C iwlwifi@40C Tdiode@42.5C PMIC@100C AUX@40C CPU@41.5C thermal@41.5C Tboard@39C GPU 7876/7778 CPU 1234/1250 SOC 4320/4368 CV 0/0 VDDRQ 2315/2298 SYS5V 4607/4610
RAM 5286/31760MB (lfb 5764x4MB) SWAP 0/15880MB (cached 0MB) CPU [26%@1804,25%@1804,25%@1804,49%@1804,off,off,off,off] EMC_FREQ 42%@2133 GR3D_FREQ 99%@905 APE 150 MTS fg 0% bg 2% AO@40C GPU@43C iwlwifi@41C Tdiode@42.75C PMIC@100C AUX@40C CPU@41.5C thermal@41.5C Tboard@39C GPU 7876/7780 CPU 1234/1249 SOC 4320/4367 CV 0/0 VDDRQ 2314/2299 SYS5V 4607/4610
RAM 5286/31760MB (lfb 5763x4MB) SWAP 0/15880MB (cached 0MB) CPU [23%@1804,23%@1804,25%@1804,31%@1804,off,off,off,off] EMC_FREQ 42%@2133 GR3D_FREQ 99%@905 APE 150 MTS fg 0% bg 3% AO@40C GPU@43C iwlwifi@41C Tdiode@42.75C PMIC@100C AUX@40C CPU@41.5C thermal@41.5C Tboard@39C GPU 7872/7782 CPU 1234/1249 SOC 4474/4369 CV 0/0 VDDRQ 2314/2299 SYS5V 4607/4610
RAM 5286/31760MB (lfb 5763x4MB) SWAP 0/15880MB (cached 0MB) CPU [26%@1773,22%@1776,28%@1776,23%@1777,off,off,off,off] EMC_FREQ 42%@2133 GR3D_FREQ 99%@905 APE 150 MTS fg 0% bg 3% AO@40C GPU@43C iwlwifi@40C Tdiode@43C PMIC@100C AUX@40C CPU@41.5C thermal@41.5C Tboard@39C GPU 7876/7784 CPU 1234/1249 SOC 4474/4371 CV 0/0 VDDRQ 2315/2299 SYS5V 4607/4610
RAM 5286/31760MB (lfb 5763x4MB) SWAP 0/15880MB (cached 0MB) CPU [29%@1773,21%@1804,29%@1804,27%@1804,off,off,off,off] EMC_FREQ 42%@2133 GR3D_FREQ 99%@905 APE 150 MTS fg 0% bg 3% AO@39.5C GPU@43C iwlwifi@41C Tdiode@42.75C PMIC@100C AUX@40C CPU@41.5C thermal@41.35C Tboard@39C GPU 7721/7783 CPU 1234/1248 SOC 4320/4370 CV 0/0 VDDRQ 2315/2299 SYS5V 4607/4610
RAM 5286/31760MB (lfb 5763x4MB) SWAP 0/15880MB (cached 0MB) CPU [26%@1773,18%@1804,26%@1804,30%@1804,off,off,off,off] EMC_FREQ 42%@2133 GR3D_FREQ 99%@905 APE 150 MTS fg 0% bg 4% AO@40C GPU@43C iwlwifi@41C Tdiode@42.75C PMIC@100C AUX@40C CPU@42C thermal@41.35C Tboard@39C GPU 7721/7782 CPU 1234/1248 SOC 4474/4372 CV 0/0 VDDRQ 2315/2300 SYS5V 4607/4610
RAM 5286/31760MB (lfb 5763x4MB) SWAP 0/15880MB (cached 0MB) CPU [31%@1804,29%@1804,20%@1804,21%@1804,off,off,off,off] EMC_FREQ 42%@2133 GR3D_FREQ 99%@905 APE 150 MTS fg 0% bg 3% AO@40C GPU@43C iwlwifi@40C Tdiode@42.75C PMIC@100C AUX@40C CPU@41.5C thermal@41.35C Tboard@39C GPU 7721/7781 CPU 1234/1248 SOC 4474/4374 CV 0/0 VDDRQ 2315/2300 SYS5V 4647/4610
