RAM 5595/31919MB (lfb 3915x4MB) SWAP 0/15959MB (cached 0MB) CPU [27%@1190,24%@1190,29%@1190,26%@1190,off,off,off,off] EMC_FREQ 42%@2133 GR3D_FREQ 99%@905 APE 150 MTS fg 0% bg 3% AO@37.5C GPU@41.5C iwlwifi@44C Tdiode@43.75C PMIC@100C AUX@38C CPU@39.5C thermal@39.5C Tboard@39C GPU 7696/7459 CPU 1077/1198 SOC 4306/4370 CV 0/0 VDDRQ 2307/2307 SYS5V 4662/4685
RAM 5584/31919MB (lfb 3915x4MB) SWAP 0/15959MB (cached 0MB) CPU [27%@1790,29%@1803,23%@1804,35%@1804,off,off,off,off] EMC_FREQ 42%@2133 GR3D_FREQ 99%@905 APE 150 MTS fg 0% bg 4% AO@38C GPU@41.5C iwlwifi@44C Tdiode@43.75C PMIC@100C AUX@38C CPU@40C thermal@39.5C Tboard@39C GPU 7696/7468 CPU 1231/1200 SOC 4459/4374 CV 0/0 VDDRQ 2307/2307 SYS5V 4702/4686
RAM 5595/31919MB (lfb 3915x4MB) SWAP 0/15959MB (cached 0MB) CPU [24%@1772,34%@1729,26%@1801,29%@1776,off,off,off,off] EMC_FREQ 42%@2133 GR3D_FREQ 99%@905 APE 150 MTS fg 0% bg 4% AO@37.5C GPU@41C iwlwifi@44C Tdiode@44C PMIC@100C AUX@38C CPU@40C thermal@39.65C Tboard@39C GPU 7388/7465 CPU 1231/1201 SOC 4461/4377 CV 0/0 VDDRQ 2307/2307 SYS5V 4702/4686
RAM 5584/31919MB (lfb 3915x4MB) SWAP 0/15959MB (cached 0MB) CPU [30%@1803,33%@1803,24%@1803,17%@1803,off,off,off,off] EMC_FREQ 41%@2133 GR3D_FREQ 99%@905 APE 150 MTS fg 0% bg 3% AO@38C GPU@41C iwlwifi@44C Tdiode@44C PMIC@100C AUX@37.5C CPU@40C thermal@39.65C Tboard@39C GPU 7237/7457 CPU 1231/1202 SOC 4307/4374 CV 0/0 VDDRQ 2154/2301 SYS5V 4662/4685
RAM 5595/31919MB (lfb 3914x4MB) SWAP 0/15959MB (cached 0MB) CPU [34%@1804,27%@1803,20%@1804,31%@1803,off,off,off,off] EMC_FREQ 41%@2133 GR3D_FREQ 87%@905 APE 150 MTS fg 0% bg 2% AO@38C GPU@41.5C iwlwifi@44C Tdiode@44C PMIC@100C AUX@38C CPU@40C thermal@39.65C Tboard@39C GPU 7542/7460 CPU 1231/1203 SOC 4461/4377 CV 0/0 VDDRQ 2307/2301 SYS5V 4702/4686
RAM 5596/31919MB (lfb 3914x4MB) SWAP 0/15959MB (cached 0MB) CPU [31%@1803,25%@1803,26%@1803,29%@1803,off,off,off,off] EMC_FREQ 41%@2133 GR3D_FREQ 61%@905 APE 150 MTS fg 0% bg 4% AO@38C GPU@41.5C iwlwifi@44C Tdiode@44C PMIC@100C AUX@38C CPU@40C thermal@39.65C Tboard@39C GPU 7388/7457 CPU 1231/1204 SOC 4461/4380 CV 0/0 VDDRQ 2308/2302 SYS5V 4702/4686
RAM 5584/31919MB (lfb 3915x4MB) SWAP 0/15959MB (cached 0MB) CPU [29%@1803,29%@1803,20%@1803,26%@1803,off,off,off,off] EMC_FREQ 42%@2133 GR3D_FREQ 52%@905 APE 150 MTS fg 0% bg 2% AO@38C GPU@41.5C iwlwifi@44C Tdiode@44C PMIC@100C AUX@38C CPU@40C thermal@39.65C Tboard@39C GPU 7542/7460 CPU 1231/1205 SOC 4459/4383 CV 0/0 VDDRQ 2307/2302 SYS5V 4702/4687
RAM 5596/31919MB (lfb 3914x4MB) SWAP 0/15959MB (cached 0MB) CPU [35%@1803,28%@1803,27%@1803,20%@1804,off,off,off,off] EMC_FREQ 42%@2133 GR3D_FREQ 75%@905 APE 150 MTS fg 0% bg 3% AO@38C GPU@41.5C iwlwifi@43C Tdiode@44C PMIC@100C AUX@38C CPU@40C thermal@39.45C Tboard@39C GPU 7542/7463 CPU 1231/1206 SOC 4459/4385 CV 0/0 VDDRQ 2307/2302 SYS5V 4702/4687
RAM 5595/31919MB (lfb 3914x4MB) SWAP 0/15959MB (cached 0MB) CPU [30%@1420,31%@1420,23%@1420,24%@1502,off,off,off,off] EMC_FREQ 42%@2133 GR3D_FREQ 95%@905 APE 150 MTS fg 0% bg 3% AO@38C GPU@41.5C iwlwifi@46C Tdiode@44C PMIC@100C AUX@38C CPU@40C thermal@39.65C Tboard@39C GPU 7542/7465 CPU 1077/1202 SOC 4307/4383 CV 0/0 VDDRQ 2307/2302 SYS5V 4702/4688
RAM 5583/31919MB (lfb 3914x4MB) SWAP 0/15959MB (cached 0MB) CPU [30%@1190,33%@1190,22%@1190,26%@1190,off,off,off,off] EMC_FREQ 42%@2133 GR3D_FREQ 97%@905 APE 150 MTS fg 0% bg 4% AO@38C GPU@41.5C iwlwifi@44C Tdiode@44C PMIC@100C AUX@38C CPU@40C thermal@39.65C Tboard@39C GPU 7696/7472 CPU 1077/1198 SOC 4307/4381 CV 0/0 VDDRQ 2308/2302 SYS5V 4702/4688
