RAM 10008/31760MB (lfb 3741x4MB) SWAP 62/15880MB (cached 1MB) CPU [26%@2265,16%@2265,17%@2265,25%@2265,25%@2265,20%@2265,23%@2265,14%@2265] EMC_FREQ 56%@2133 GR3D_FREQ 97%@1377 APE 150 MTS fg 0% bg 7% AO@41.5C GPU@47C iwlwifi@37C Tdiode@44.25C PMIC@100C AUX@40.5C CPU@44C thermal@43.5C Tboard@39C GPU 18247/18041 CPU 3220/3284 SOC 4902/4884 CV 0/0 VDDRQ 2759/2810 SYS5V 4967/4934
RAM 10008/31760MB (lfb 3741x4MB) SWAP 62/15880MB (cached 1MB) CPU [18%@2265,23%@2265,26%@2265,24%@2265,21%@2265,27%@2265,32%@2265,13%@2265] EMC_FREQ 56%@2133 GR3D_FREQ 99%@1377 APE 150 MTS fg 0% bg 16% AO@41.5C GPU@47.5C iwlwifi@37C Tdiode@44.25C PMIC@100C AUX@40.5C CPU@44C thermal@43.65C Tboard@39C GPU 17941/18038 CPU 3066/3277 SOC 4904/4884 CV 0/0 VDDRQ 2759/2808 SYS5V 4927/4934
RAM 10008/31760MB (lfb 3741x4MB) SWAP 62/15880MB (cached 1MB) CPU [15%@2265,13%@2265,29%@2265,19%@2265,17%@2265,22%@2265,21%@2265,19%@2265] EMC_FREQ 56%@2133 GR3D_FREQ 99%@1377 APE 150 MTS fg 0% bg 8% AO@41.5C GPU@47.5C iwlwifi@37C Tdiode@44.5C PMIC@100C AUX@41C CPU@43C thermal@43.35C Tboard@39C GPU 18087/18039 CPU 3373/3280 SOC 4902/4885 CV 0/0 VDDRQ 2912/2811 SYS5V 4967/4935
RAM 10008/31760MB (lfb 3741x4MB) SWAP 62/15880MB (cached 1MB) CPU [20%@2262,26%@2214,27%@2217,24%@2207,24%@2216,27%@2217,20%@2222,21%@2265] EMC_FREQ 56%@2133 GR3D_FREQ 99%@1377 APE 150 MTS fg 0% bg 20% AO@41.5C GPU@47.5C iwlwifi@37C Tdiode@44.25C PMIC@100C AUX@40.5C CPU@44C thermal@43.8C Tboard@39C GPU 18247/18045 CPU 2760/3266 SOC 4902/4885 CV 0/0 VDDRQ 2759/2810 SYS5V 4927/4934
RAM 10008/31760MB (lfb 3741x4MB) SWAP 62/15880MB (cached 1MB) CPU [15%@2265,24%@2265,22%@2265,21%@2265,26%@2265,17%@2265,22%@2265,23%@2265] EMC_FREQ 56%@2133 GR3D_FREQ 63%@1377 APE 150 MTS fg 0% bg 17% AO@41.5C GPU@47.5C iwlwifi@37C Tdiode@44.5C PMIC@100C AUX@40.5C CPU@44C thermal@43.85C Tboard@39C GPU 18247/18051 CPU 3220/3264 SOC 4902/4886 CV 0/0 VDDRQ 2912/2812 SYS5V 4927/4934
RAM 10007/31760MB (lfb 3741x4MB) SWAP 62/15880MB (cached 1MB) CPU [26%@2265,18%@2265,14%@2265,24%@2265,24%@2265,25%@2265,13%@2265,13%@2265] EMC_FREQ 55%@2133 GR3D_FREQ 24%@1377 APE 150 MTS fg 0% bg 9% AO@41.5C GPU@47.5C iwlwifi@37C Tdiode@44.5C PMIC@100C AUX@41C CPU@43.5C thermal@43.85C Tboard@39C GPU 18094/18052 CPU 3218/3263 SOC 4902/4886 CV 0/0 VDDRQ 2912/2815 SYS5V 4967/4935
RAM 10009/31760MB (lfb 3741x4MB) SWAP 62/15880MB (cached 1MB) CPU [15%@2265,21%@2265,22%@2265,17%@2265,25%@2265,27%@2265,23%@2265,19%@2265] EMC_FREQ 55%@2133 GR3D_FREQ 99%@1377 APE 150 MTS fg 0% bg 16% AO@41.5C GPU@47.5C iwlwifi@37C Tdiode@44.75C PMIC@100C AUX@41C CPU@44C thermal@43.85C Tboard@39C GPU 17787/18045 CPU 2913/3254 SOC 4904/4886 CV 0/0 VDDRQ 2760/2813 SYS5V 4927/4935
RAM 10006/31760MB (lfb 3741x4MB) SWAP 62/15880MB (cached 1MB) CPU [20%@2265,24%@2265,26%@2265,26%@2265,21%@2265,20%@2265,20%@2265,15%@2265] EMC_FREQ 55%@2133 GR3D_FREQ 78%@1377 APE 150 MTS fg 0% bg 9% AO@41.5C GPU@48C iwlwifi@37C Tdiode@44.75C PMIC@100C AUX@41C CPU@44C thermal@43.85C Tboard@39C GPU 18247/18050 CPU 3220/3253 SOC 4902/4887 CV 0/0 VDDRQ 2912/2816 SYS5V 4967/4936
RAM 10007/31760MB (lfb 3741x4MB) SWAP 62/15880MB (cached 1MB) CPU [21%@2265,24%@2265,25%@2265,27%@2265,17%@2265,9%@2265,20%@2265,15%@2265] EMC_FREQ 56%@2133 GR3D_FREQ 99%@1377 APE 150 MTS fg 0% bg 7% AO@42C GPU@47.5C iwlwifi@37C Tdiode@44.75C PMIC@100C AUX@41C CPU@44C thermal@44C Tboard@39C GPU 17941/18047 CPU 2913/3245 SOC 4904/4887 CV 0/0 VDDRQ 2759/2815 SYS5V 4927/4935
RAM 10008/31760MB (lfb 3741x4MB) SWAP 62/15880MB (cached 1MB) CPU [28%@2265,22%@2265,18%@2265,27%@2265,21%@2265,20%@2265,19%@2265,21%@2265] EMC_FREQ 56%@2133 GR3D_FREQ 99%@1377 APE 150 MTS fg 0% bg 16% AO@42C GPU@47.5C iwlwifi@38C Tdiode@44.75C PMIC@100C AUX@41C CPU@44.5C thermal@44.15C Tboard@39C GPU 18094/18048 CPU 2913/3237 SOC 4904/4888 CV 0/0 VDDRQ 2759/2813 SYS5V 4927/4935
RAM 10006/31760MB (lfb 3741x4MB) SWAP 62/15880MB (cached 1MB) CPU [20%@2265,16%@2265,20%@2265,21%@2265,21%@2265,24%@2265,14%@2265,18%@2265] EMC_FREQ 56%@2133 GR3D_FREQ 98%@1377 APE 150 MTS fg 0% bg 12% AO@42C GPU@47.5C iwlwifi@37C Tdiode@45C PMIC@100C AUX@41C CPU@44C thermal@43.85C Tboard@39C GPU 18247/18053 CPU 3220/3237 SOC 4902/4888 CV 0/0 VDDRQ 2912/2815 SYS5V 4967/4936
RAM 10004/31760MB (lfb 3741x4MB) SWAP 62/15880MB (cached 1MB) CPU [22%@2260,26%@2265,26%@2265,25%@2265,26%@2265,28%@2265,34%@2265,19%@2265] EMC_FREQ 56%@2133 GR3D_FREQ 99%@1377 APE 150 MTS fg 0% bg 12% AO@42C GPU@48C iwlwifi@37C Tdiode@45C PMIC@100C AUX@41C CPU@44C thermal@44.15C Tboard@39C GPU 18094/18054 CPU 3220/3236 SOC 4904/4888 CV 0/0 VDDRQ 2759/2814 SYS5V 4967/4937
RAM 10004/31760MB (lfb 3741x4MB) SWAP 62/15880MB (cached 1MB) CPU [30%@2265,24%@2265,32%@2265,23%@2264,20%@2264,18%@2264,21%@2264,22%@2265] EMC_FREQ 56%@2133 GR3D_FREQ 62%@1377 APE 150 MTS fg 0% bg 18% AO@42C GPU@48C iwlwifi@39C Tdiode@45.25C PMIC@100C AUX@41C CPU@44.5C thermal@44.15C Tboard@39C GPU 18240/18058 CPU 3525/3243 SOC 4902/4889 CV 0/0 VDDRQ 2911/2816 SYS5V 4967/4937
RAM 10003/31760MB (lfb 3741x4MB) SWAP 62/15880MB (cached 1MB) CPU [14%@2265,20%@2265,22%@2265,24%@2265,27%@2265,14%@2265,17%@2265,21%@2265] EMC_FREQ 56%@2133 GR3D_FREQ 78%@1377 APE 150 MTS fg 0% bg 8% AO@42C GPU@48C iwlwifi@37C Tdiode@45C PMIC@100C AUX@41C CPU@44.5C thermal@44.15C Tboard@39C GPU 18240/18062 CPU 3372/3246 SOC 4902/4889 CV 0/0 VDDRQ 2912/2818 SYS5V 4967/4938
RAM 10005/31760MB (lfb 3741x4MB) SWAP 62/15880MB (cached 1MB) CPU [27%@2265,23%@2265,24%@2265,26%@2265,19%@2265,19%@2265,27%@2265,19%@2265] EMC_FREQ 56%@2133 GR3D_FREQ 99%@1377 APE 150 MTS fg 0% bg 15% AO@42C GPU@48C iwlwifi@37C Tdiode@45C PMIC@100C AUX@41C CPU@44.5C thermal@44.35C Tboard@39C GPU 18247/18066 CPU 2913/3238 SOC 4904/4889 CV 0/0 VDDRQ 2912/2820 SYS5V 4967/4938
RAM 10003/31760MB (lfb 3741x4MB) SWAP 62/15880MB (cached 1MB) CPU [26%@2265,17%@2265,16%@2265,24%@2265,24%@2265,21%@2264,21%@2264,19%@2265] EMC_FREQ 56%@2133 GR3D_FREQ 97%@1377 APE 150 MTS fg 0% bg 7% AO@42C GPU@48C iwlwifi@37C Tdiode@45.25C PMIC@100C AUX@41C CPU@44C thermal@44.35C Tboard@39C GPU 18240/18069 CPU 3218/3238 SOC 4902/4889 CV 0/0 VDDRQ 2912/2822 SYS5V 4967/4939
RAM 10005/31760MB (lfb 3741x4MB) SWAP 62/15880MB (cached 1MB) CPU [19%@2264,17%@2265,30%@2264,28%@2265,19%@2264,19%@2265,21%@2265,17%@2265] EMC_FREQ 56%@2133 GR3D_FREQ 99%@1377 APE 150 MTS fg 0% bg 12% AO@42.5C GPU@48.5C iwlwifi@37C Tdiode@45.25C PMIC@100C AUX@41.5C CPU@45C thermal@44.65C Tboard@39C GPU 18393/18076 CPU 3065/3234 SOC 4902/4890 CV 0/0 VDDRQ 2911/2824 SYS5V 4967/4940
RAM 9992/31760MB (lfb 3741x4MB) SWAP 62/15880MB (cached 1MB) CPU [20%@2265,28%@2265,23%@2265,17%@2265,20%@2265,24%@2264,25%@2265,23%@2265] EMC_FREQ 56%@2133 GR3D_FREQ 59%@1377 APE 150 MTS fg 0% bg 10% AO@42.5C GPU@48.5C iwlwifi@38C Tdiode@45.5C PMIC@100C AUX@41C CPU@44.5C thermal@44.5C Tboard@40C GPU 18087/18076 CPU 3525/3240 SOC 4902/4890 CV 0/0 VDDRQ 2911/2826 SYS5V 4967/4940
RAM 9991/31760MB (lfb 3741x4MB) SWAP 62/15880MB (cached 1MB) CPU [23%@2265,26%@2265,16%@2265,21%@2265,19%@2265,20%@2265,23%@2265,17%@2265] EMC_FREQ 55%@2133 GR3D_FREQ 99%@1377 APE 150 MTS fg 0% bg 8% AO@42.5C GPU@48.5C iwlwifi@37C Tdiode@45.25C PMIC@100C AUX@41.5C CPU@44.5C thermal@44.5C Tboard@40C GPU 17787/18071 CPU 3220/3240 SOC 4902/4890 CV 0/0 VDDRQ 2759/2824 SYS5V 4927/4940
