RAM 5532/31919MB (lfb 3935x4MB) SWAP 0/15959MB (cached 0MB) CPU [19%@1420,21%@1420,25%@1420,21%@1420,20%@1420,23%@1420,off,off] EMC_FREQ 42%@2133 GR3D_FREQ 99%@905 APE 150 MTS fg 0% bg 5% AO@38C GPU@41.5C iwlwifi@44C Tdiode@44C PMIC@100C AUX@38C CPU@40C thermal@39.65C Tboard@39C GPU 7391/7437 CPU 1077/1030 SOC 4461/4367 CV 0/0 VDDRQ 2308/2287 SYS5V 4662/4670
RAM 5544/31919MB (lfb 3933x4MB) SWAP 0/15959MB (cached 0MB) CPU [23%@1420,19%@1420,21%@1420,15%@1420,31%@1420,18%@1420,off,off] EMC_FREQ 42%@2133 GR3D_FREQ 99%@905 APE 150 MTS fg 0% bg 5% AO@38C GPU@41.5C iwlwifi@44C Tdiode@44.25C PMIC@100C AUX@38C CPU@40C thermal@39.65C Tboard@39C GPU 7391/7435 CPU 1077/1032 SOC 4461/4371 CV 0/0 VDDRQ 2308/2288 SYS5V 4702/4672
RAM 5533/31919MB (lfb 3934x4MB) SWAP 0/15959MB (cached 0MB) CPU [13%@1420,15%@1420,22%@1420,23%@1420,20%@1420,19%@1420,off,off] EMC_FREQ 42%@2133 GR3D_FREQ 99%@905 APE 150 MTS fg 0% bg 5% AO@38C GPU@41C iwlwifi@44C Tdiode@44C PMIC@100C AUX@38C CPU@40C thermal@39.65C Tboard@39C GPU 7391/7433 CPU 1077/1033 SOC 4307/4368 CV 0/0 VDDRQ 2308/2289 SYS5V 4662/4671
RAM 5544/31919MB (lfb 3932x4MB) SWAP 0/15959MB (cached 0MB) CPU [22%@1420,17%@1420,22%@1420,32%@1420,19%@1420,14%@1420,off,off] EMC_FREQ 41%@2133 GR3D_FREQ 97%@905 APE 150 MTS fg 0% bg 6% AO@38C GPU@41.5C iwlwifi@44C Tdiode@44C PMIC@100C AUX@38C CPU@40C thermal@39.65C Tboard@39C GPU 7391/7432 CPU 1077/1035 SOC 4307/4366 CV 0/0 VDDRQ 2308/2290 SYS5V 4662/4671
RAM 5544/31919MB (lfb 3932x4MB) SWAP 0/15959MB (cached 0MB) CPU [18%@1420,12%@1420,21%@1420,23%@1420,21%@1420,20%@1420,off,off] EMC_FREQ 41%@2133 GR3D_FREQ 98%@905 APE 150 MTS fg 0% bg 5% AO@38C GPU@41.5C iwlwifi@44C Tdiode@44.25C PMIC@100C AUX@38.5C CPU@40C thermal@39.85C Tboard@39C GPU 7388/7430 CPU 923/1031 SOC 4307/4364 CV 0/0 VDDRQ 2308/2290 SYS5V 4662/4670
RAM 5532/31919MB (lfb 3934x4MB) SWAP 0/15959MB (cached 0MB) CPU [20%@1420,18%@1420,23%@1420,29%@1420,15%@1420,16%@1420,off,off] EMC_FREQ 42%@2133 GR3D_FREQ 82%@905 APE 150 MTS fg 0% bg 5% AO@38C GPU@41.5C iwlwifi@44C Tdiode@44.25C PMIC@100C AUX@38C CPU@40.5C thermal@39.65C Tboard@40C GPU 7391/7429 CPU 923/1027 SOC 4307/4362 CV 0/0 VDDRQ 2308/2291 SYS5V 4662/4670
RAM 5543/31919MB (lfb 3932x4MB) SWAP 0/15959MB (cached 0MB) CPU [19%@1190,15%@1190,21%@1190,19%@1190,21%@1190,19%@1315,off,off] EMC_FREQ 41%@2133 GR3D_FREQ 99%@905 APE 150 MTS fg 0% bg 5% AO@38C GPU@41.5C iwlwifi@44C Tdiode@44.25C PMIC@100C AUX@38.5C CPU@40C thermal@39.65C Tboard@40C GPU 7545/7433 CPU 923/1023 SOC 4307/4360 CV 0/0 VDDRQ 2154/2286 SYS5V 4662/4670
RAM 5532/31919MB (lfb 3934x4MB) SWAP 0/15959MB (cached 0MB) CPU [19%@1190,24%@1190,23%@1190,21%@1190,18%@1266,17%@1267,off,off] EMC_FREQ 41%@2133 GR3D_FREQ 99%@905 APE 150 MTS fg 0% bg 6% AO@38C GPU@41.5C iwlwifi@44C Tdiode@44.5C PMIC@100C AUX@38C CPU@40C thermal@39.85C Tboard@40C GPU 7545/7436 CPU 923/1020 SOC 4307/4358 CV 0/0 VDDRQ 2308/2287 SYS5V 4662/4670
RAM 5532/31919MB (lfb 3934x4MB) SWAP 0/15959MB (cached 0MB) CPU [24%@1341,15%@1341,24%@1341,22%@1341,23%@1341,20%@1341,off,off] EMC_FREQ 42%@2133 GR3D_FREQ 99%@905 APE 150 MTS fg 0% bg 6% AO@38C GPU@41.5C iwlwifi@44C Tdiode@44.25C PMIC@100C AUX@38C CPU@40C thermal@39.65C Tboard@40C GPU 7545/7440 CPU 1077/1022 SOC 4461/4361 CV 0/0 VDDRQ 2308/2288 SYS5V 4702/4671
RAM 5544/31919MB (lfb 3932x4MB) SWAP 0/15959MB (cached 0MB) CPU [14%@1190,20%@1190,23%@1190,28%@1190,18%@1190,16%@1190,off,off] EMC_FREQ 42%@2133 GR3D_FREQ 99%@905 APE 150 MTS fg 0% bg 6% AO@38C GPU@42C iwlwifi@44C Tdiode@44.25C PMIC@100C AUX@38.5C CPU@40C thermal@40C Tboard@40C GPU 7542/7443 CPU 1077/1024 SOC 4459/4364 CV 0/0 VDDRQ 2307/2288 SYS5V 4702/4672
RAM 5543/31919MB (lfb 3932x4MB) SWAP 0/15959MB (cached 0MB) CPU [17%@1420,22%@1189,17%@1190,25%@1266,20%@1267,22%@1267,off,off] EMC_FREQ 42%@2133 GR3D_FREQ 99%@905 APE 150 MTS fg 0% bg 6% AO@38C GPU@41.5C iwlwifi@44C Tdiode@44.25C PMIC@100C AUX@38.5C CPU@40C thermal@40C Tboard@40C GPU 7391/7441 CPU 923/1021 SOC 4461/4367 CV 0/0 VDDRQ 2308/2289 SYS5V 4662/4671
RAM 5544/31919MB (lfb 3932x4MB) SWAP 0/15959MB (cached 0MB) CPU [23%@1420,24%@1420,21%@1420,24%@1420,15%@1420,20%@1420,off,off] EMC_FREQ 42%@2133 GR3D_FREQ 99%@905 APE 150 MTS fg 0% bg 5% AO@38.5C GPU@41.5C iwlwifi@44C Tdiode@44.5C PMIC@100C AUX@38.5C CPU@40.5C thermal@40C Tboard@40C GPU 7391/7440 CPU 1077/1022 SOC 4461/4370 CV 0/0 VDDRQ 2308/2289 SYS5V 4702/4672
RAM 5532/31919MB (lfb 3933x4MB) SWAP 0/15959MB (cached 0MB) CPU [22%@1420,14%@1420,20%@1420,24%@1420,22%@1420,22%@1420,off,off] EMC_FREQ 42%@2133 GR3D_FREQ 99%@905 APE 150 MTS fg 0% bg 5% AO@38.5C GPU@42C iwlwifi@44C Tdiode@44.25C PMIC@100C AUX@38.5C CPU@40C thermal@40C Tboard@40C GPU 7391/7438 CPU 1077/1024 SOC 4461/4372 CV 0/0 VDDRQ 2308/2290 SYS5V 4702/4673
RAM 5544/31919MB (lfb 3931x4MB) SWAP 0/15959MB (cached 0MB) CPU [26%@1420,18%@1420,21%@1420,17%@1420,24%@1420,22%@1420,off,off] EMC_FREQ 42%@2133 GR3D_FREQ 99%@905 APE 150 MTS fg 0% bg 4% AO@38.5C GPU@42C iwlwifi@44C Tdiode@44.5C PMIC@100C AUX@38.5C CPU@40.5C thermal@39.85C Tboard@40C GPU 7542/7441 CPU 1077/1025 SOC 4461/4375 CV 0/0 VDDRQ 2308/2290 SYS5V 4702/4674
RAM 5544/31919MB (lfb 3931x4MB) SWAP 0/15959MB (cached 0MB) CPU [20%@1420,15%@1420,24%@1420,19%@1420,30%@1420,17%@1420,off,off] EMC_FREQ 42%@2133 GR3D_FREQ 99%@905 APE 150 MTS fg 0% bg 6% AO@38C GPU@42C iwlwifi@44C Tdiode@44.5C PMIC@100C AUX@38.5C CPU@40C thermal@40C Tboard@40C GPU 7391/7440 CPU 1077/1027 SOC 4461/4377 CV 0/0 VDDRQ 2308/2291 SYS5V 4702/4674
RAM 5544/31919MB (lfb 3931x4MB) SWAP 0/15959MB (cached 0MB) CPU [18%@1420,19%@1420,26%@1420,20%@1420,21%@1420,22%@1420,off,off] EMC_FREQ 42%@2133 GR3D_FREQ 99%@905 APE 150 MTS fg 0% bg 5% AO@38.5C GPU@42C iwlwifi@44C Tdiode@44.5C PMIC@100C AUX@38.5C CPU@40.5C thermal@40C Tboard@40C GPU 7545/7443 CPU 1077/1028 SOC 4461/4379 CV 0/0 VDDRQ 2308/2291 SYS5V 4702/4675
RAM 5545/31919MB (lfb 3931x4MB) SWAP 0/15959MB (cached 0MB) CPU [27%@1420,20%@1420,25%@1420,19%@1420,14%@1420,21%@1420,off,off] EMC_FREQ 42%@2133 GR3D_FREQ 99%@905 APE 150 MTS fg 0% bg 4% AO@38.5C GPU@41.5C iwlwifi@46C Tdiode@44.5C PMIC@100C AUX@38.5C CPU@40.5C thermal@40C Tboard@40C GPU 7391/7441 CPU 1077/1029 SOC 4461/4381 CV 0/0 VDDRQ 2308/2292 SYS5V 4702/4676
RAM 5544/31919MB (lfb 3931x4MB) SWAP 0/15959MB (cached 0MB) CPU [20%@1420,9%@1420,25%@1420,20%@1420,14%@1420,31%@1420,off,off] EMC_FREQ 41%@2133 GR3D_FREQ 54%@905 APE 150 MTS fg 0% bg 4% AO@38.5C GPU@42C iwlwifi@44C Tdiode@44.5C PMIC@100C AUX@38.5C CPU@40.5C thermal@40.15C Tboard@40C GPU 7545/7444 CPU 1077/1030 SOC 4461/4383 CV 0/0 VDDRQ 2308/2292 SYS5V 4702/4677
RAM 5533/31919MB (lfb 3933x4MB) SWAP 0/15959MB (cached 0MB) CPU [29%@1420,18%@1420,25%@1420,25%@1420,21%@1420,9%@1420,off,off] EMC_FREQ 42%@2133 GR3D_FREQ 98%@905 APE 150 MTS fg 0% bg 5% AO@38.5C GPU@42C iwlwifi@44C Tdiode@44.5C PMIC@100C AUX@38.5C CPU@40.5C thermal@40.15C Tboard@40C GPU 7545/7446 CPU 923/1028 SOC 4307/4382 CV 0/0 VDDRQ 2308/2292 SYS5V 4662/4676
RAM 5532/31919MB (lfb 3933x4MB) SWAP 0/15959MB (cached 0MB) CPU [19%@1190,24%@1190,23%@1190,18%@1190,29%@1190,12%@1190,off,off] EMC_FREQ 41%@2133 GR3D_FREQ 94%@905 APE 150 MTS fg 0% bg 0% AO@38.5C GPU@42C iwlwifi@46C Tdiode@44.5C PMIC@100C AUX@38.5C CPU@40.5C thermal@40C Tboard@40C GPU 7545/7449 CPU 923/1025 SOC 4307/4380 CV 0/0 VDDRQ 2154/2289 SYS5V 4662/4676
