node name | requested bytes | total execution time | accelerator execution time | cpu execution time
Conv2D                      1015.29MB (100.00%, 61.17%),     215.96ms (100.00%, 74.32%),     170.59ms (100.00%, 82.80%),      45.37ms (100.00%, 53.65%)
import/darknet/residual13/conv1/Conv2D-0-TransposeNHWCToNCHW-LayoutOptimizer        1.38MB (10.64%, 0.08%),           148us (6.06%, 0.05%),            34us (3.02%, 0.02%),          114us (13.47%, 0.13%)
import/darknet/residual17/conv2/batch_normalization/FusedBatchNormV3-0-0-TransposeNCHWToNHWC-LayoutOptimizer        1.38MB (10.56%, 0.08%),           148us (6.01%, 0.05%),            36us (3.00%, 0.02%),          112us (13.34%, 0.13%)
import/darknet/residual1/conv1/Conv2D-0-TransposeNHWCToNCHW-LayoutOptimizer        5.54MB (10.48%, 0.33%),           145us (5.96%, 0.05%),           101us (2.99%, 0.05%),           44us (13.20%, 0.05%)
import/darknet/residual9/conv1/batch_normalization/FusedBatchNormV3-0-0-TransposeNCHWToNHWC-LayoutOptimizer        1.38MB (10.14%, 0.08%),           144us (5.91%, 0.05%),            29us (2.94%, 0.01%),          115us (13.15%, 0.14%)
import/darknet/residual10/conv1/batch_normalization/FusedBatchNormV3/Mul             0B (0.00%, 0.00%),           136us (5.86%, 0.05%),            31us (2.92%, 0.02%),          105us (13.02%, 0.12%)
import/darknet/residual3/conv2/batch_normalization/FusedBatchNormV3-0-0-TransposeNCHWToNHWC-LayoutOptimizer        2.77MB (10.06%, 0.17%),           135us (5.81%, 0.05%),            55us (2.91%, 0.03%),           80us (12.89%, 0.09%)
import/darknet/residual22/conv2/batch_normalization/FusedBatchNormV3/Mul             0B (0.00%, 0.00%),           132us (5.77%, 0.05%),            19us (2.88%, 0.01%),          113us (12.80%, 0.13%)
import/darknet/residual6/conv2/batch_normalization/FusedBatchNormV3/Mul             0B (0.00%, 0.00%),           132us (5.72%, 0.05%),            54us (2.87%, 0.03%),           78us (12.66%, 0.09%)
import/darknet/residual2/conv1/batch_normalization/FusedBatchNormV3/Mul             0B (0.00%, 0.00%),           125us (5.68%, 0.04%),            54us (2.85%, 0.03%),           71us (12.57%, 0.08%)
import/conv_sbbox/BiasAdd-0-0-TransposeNCHWToNHWC-LayoutOptimizer         2.77MB (9.89%, 0.17%),           124us (5.63%, 0.04%),            68us (2.82%, 0.03%),           56us (12.49%, 0.07%)
import/darknet/residual7/conv2/batch_normalization/FusedBatchNormV3/Mul             0B (0.00%, 0.00%),           123us (5.59%, 0.04%),            57us (2.79%, 0.03%),           66us (12.42%, 0.08%)
import/conv67/batch_normalization/FusedBatchNormV3/Mul             0B (0.00%, 0.00%),           122us (5.55%, 0.04%),            57us (2.76%, 0.03%),           65us (12.34%, 0.08%)
import/conv_sobj_branch/batch_normalization/FusedBatchNormV3-0-0-TransposeNCHWToNHWC-LayoutOptimizer         2.77MB (9.73%, 0.17%),           122us (5.51%, 0.04%),            54us (2.73%, 0.03%),           68us (12.27%, 0.08%)
import/darknet/conv9/batch_normalization/FusedBatchNormV3/Mul             0B (0.00%, 0.00%),           121us (5.46%, 0.04%),            57us (2.71%, 0.03%),           64us (12.19%, 0.08%)
import/conv66/batch_normalization/FusedBatchNormV3/Mul             0B (0.00%, 0.00%),           119us (5.42%, 0.04%),            31us (2.68%, 0.02%),           88us (12.11%, 0.10%)
