node name | requested bytes | total execution time | accelerator execution time | cpu execution time
Conv2D                      1015.29MB (100.00%, 61.17%),     215.96ms (100.00%, 74.32%),     170.59ms (100.00%, 82.80%),      45.37ms (100.00%, 53.65%)
import/pred_mbbox/Shape-0-0-DataFormatVecPermuteNCHWToNHWC-LayoutOptimizer            16B (0.01%, 0.00%),            13us (0.31%, 0.00%),             0us (0.01%, 0.00%),            13us (1.04%, 0.02%)
_retval_import/pred_lbbox/concat_2_0_0             0B (0.00%, 0.00%),            11us (0.31%, 0.00%),             0us (0.01%, 0.00%),            11us (1.03%, 0.01%)
import/darknet/residual20/conv2/batch_normalization/FusedBatchNormV3-1-ReshapeNHWCToNCHW-LayoutOptimizer         4.10KB (0.01%, 0.00%),            11us (0.30%, 0.00%),             0us (0.01%, 0.00%),            11us (1.01%, 0.01%)
import/conv66/batch_normalization/FusedBatchNormV3-1-ReshapeNHWCToNCHW-LayoutOptimizer           512B (0.01%, 0.00%),            11us (0.30%, 0.00%),             0us (0.01%, 0.00%),            11us (1.00%, 0.01%)
import/darknet/residual14/conv2/batch_normalization/FusedBatchNormV3-1-ReshapeNHWCToNCHW-LayoutOptimizer         2.05KB (0.01%, 0.00%),            11us (0.30%, 0.00%),             0us (0.01%, 0.00%),            11us (0.99%, 0.01%)
_retval_import/pred_sbbox/concat_2_0_2             0B (0.00%, 0.00%),            11us (0.29%, 0.00%),             0us (0.01%, 0.00%),            11us (0.98%, 0.01%)
edge_985_import/pred_mbbox/strided_slice_7@@MemcpyHtoD             0B (0.00%, 0.00%),            10us (0.29%, 0.00%),            10us (0.01%, 0.00%),             0us (0.96%, 0.00%)
import/darknet/residual18/conv2/batch_normalization/FusedBatchNormV3-1-ReshapeNHWCToNCHW-LayoutOptimizer         2.05KB (0.01%, 0.00%),             9us (0.29%, 0.00%),             0us (0.01%, 0.00%),             9us (0.96%, 0.01%)
import/darknet/residual3/conv2/batch_normalization/FusedBatchNormV3/Mul-1-ReshapeNHWCToNCHW-LayoutOptimizer         1.02KB (0.01%, 0.00%),             9us (0.28%, 0.00%),             0us (0.01%, 0.00%),             9us (0.95%, 0.01%)
import/conv54/batch_normalization/FusedBatchNormV3-1-ReshapeNHWCToNCHW-LayoutOptimizer         2.05KB (0.01%, 0.00%),             9us (0.28%, 0.00%),             0us (0.01%, 0.00%),             9us (0.94%, 0.01%)
import/conv65/batch_normalization/FusedBatchNormV3/Mul-1-ReshapeNHWCToNCHW-LayoutOptimizer         1.02KB (0.01%, 0.00%),             9us (0.28%, 0.00%),             0us (0.01%, 0.00%),             9us (0.93%, 0.01%)
import/darknet/residual0/conv2/batch_normalization/FusedBatchNormV3-1-ReshapeNHWCToNCHW-LayoutOptimizer           256B (0.01%, 0.00%),             8us (0.27%, 0.00%),             0us (0.01%, 0.00%),             8us (0.92%, 0.01%)
edge_790_import/pred_lbbox/strided_slice_6@@MemcpyHtoD             0B (0.00%, 0.00%),             8us (0.27%, 0.00%),             8us (0.01%, 0.00%),             0us (0.91%, 0.00%)
import/conv63/batch_normalization/FusedBatchNormV3/Mul-1-ReshapeNHWCToNCHW-LayoutOptimizer           512B (0.01%, 0.00%),             8us (0.27%, 0.00%),             0us (0.00%, 0.00%),             8us (0.91%, 0.01%)
import/darknet/residual1/conv1/batch_normalization/FusedBatchNormV3-1-ReshapeNHWCToNCHW-LayoutOptimizer           256B (0.01%, 0.00%),             8us (0.26%, 0.00%),             0us (0.00%, 0.00%),             8us (0.90%, 0.01%)
import/conv55/batch_normalization/FusedBatchNormV3-1-ReshapeNHWCToNCHW-LayoutOptimizer         4.10KB (0.01%, 0.00%),             8us (0.26%, 0.00%),             0us (0.00%, 0.00%),             8us (0.89%, 0.01%)
import/darknet/conv1/batch_normalization/FusedBatchNormV3-1-ReshapeNHWCToNCHW-LayoutOptimizer           256B (0.01%, 0.00%),             8us (0.26%, 0.00%),             0us (0.00%, 0.00%),             8us (0.88%, 0.01%)
import/darknet/conv1/batch_normalization/FusedBatchNormV3/Mul-1-ReshapeNHWCToNCHW-LayoutOptimizer           256B (0.01%, 0.00%),             8us (0.26%, 0.00%),             0us (0.00%, 0.00%),             8us (0.87%, 0.01%)
import/darknet/residual16/conv2/batch_normalization/FusedBatchNormV3-1-ReshapeNHWCToNCHW-LayoutOptimizer         2.05KB (0.01%, 0.00%),             8us (0.25%, 0.00%),             0us (0.00%, 0.00%),             8us (0.86%, 0.01%)
import/darknet/residual12/conv2/batch_normalization/FusedBatchNormV3/Mul-1-ReshapeNHWCToNCHW-LayoutOptimizer         2.05KB (0.01%, 0.00%),             8us (0.25%, 0.00%),             0us (0.00%, 0.00%),             8us (0.85%, 0.01%)
edge_983_import/pred_mbbox/strided_slice_6@@MemcpyHtoD             0B (0.00%, 0.00%),             8us (0.25%, 0.00%),             8us (0.00%, 0.00%),             0us (0.84%, 0.00%)
import/darknet/residual2/conv1/batch_normalization/FusedBatchNormV3/Mul-1-ReshapeNHWCToNCHW-LayoutOptimizer           256B (0.01%, 0.00%),             8us (0.25%, 0.00%),             0us (0.00%, 0.00%),             8us (0.84%, 0.01%)
import/darknet/conv0/batch_normalization/FusedBatchNormV3/Mul-1-ReshapeNHWCToNCHW-LayoutOptimizer           256B (0.01%, 0.00%),             7us (0.24%, 0.00%),             0us (0.00%, 0.00%),             7us (0.83%, 0.01%)
import/darknet/residual8/conv2/batch_normalization/FusedBatchNormV3-1-ReshapeNHWCToNCHW-LayoutOptimizer         1.02KB (0.01%, 0.00%),             7us (0.24%, 0.00%),             0us (0.00%, 0.00%),             7us (0.83%, 0.01%)
import/darknet/residual1/conv1/batch_normalization/FusedBatchNormV3/Mul-1-ReshapeNHWCToNCHW-LayoutOptimizer           256B (0.01%, 0.00%),             7us (0.24%, 0.00%),             0us (0.00%, 0.00%),             7us (0.82%, 0.01%)
import/darknet/residual13/conv2/batch_normalization/FusedBatchNormV3/Mul-1-ReshapeNHWCToNCHW-LayoutOptimizer         2.05KB (0.01%, 0.00%),             7us (0.24%, 0.00%),             0us (0.00%, 0.00%),             7us (0.81%, 0.01%)
import/darknet/residual4/conv1/batch_normalization/FusedBatchNormV3-1-ReshapeNHWCToNCHW-LayoutOptimizer           512B (0.01%, 0.00%),             7us (0.23%, 0.00%),             0us (0.00%, 0.00%),             7us (0.80%, 0.01%)
import/darknet/residual14/conv1/batch_normalization/FusedBatchNormV3/Mul-1-ReshapeNHWCToNCHW-LayoutOptimizer         1.02KB (0.01%, 0.00%),             7us (0.23%, 0.00%),             0us (0.00%, 0.00%),             7us (0.79%, 0.01%)
import/darknet/residual0/conv1/batch_normalization/FusedBatchNormV3/Mul-1-ReshapeNHWCToNCHW-LayoutOptimizer           256B (0.01%, 0.00%),             7us (0.23%, 0.00%),             0us (0.00%, 0.00%),             7us (0.79%, 0.01%)
import/conv67/batch_normalization/FusedBatchNormV3/Mul-1-ReshapeNHWCToNCHW-LayoutOptimizer         1.02KB (0.01%, 0.00%),             7us (0.23%, 0.00%),             0us (0.00%, 0.00%),             7us (0.78%, 0.01%)
import/darknet/residual22/conv2/batch_normalization/FusedBatchNormV3-1-ReshapeNHWCToNCHW-LayoutOptimizer         4.10KB (0.01%, 0.00%),             7us (0.22%, 0.00%),             0us (0.00%, 0.00%),             7us (0.77%, 0.01%)
import/darknet/residual6/conv2/batch_normalization/FusedBatchNormV3-1-ReshapeNHWCToNCHW-LayoutOptimizer         1.02KB (0.01%, 0.00%),             7us (0.22%, 0.00%),             0us (0.00%, 0.00%),             7us (0.76%, 0.01%)
import/conv63/batch_normalization/FusedBatchNormV3-1-ReshapeNHWCToNCHW-LayoutOptimizer           512B (0.01%, 0.00%),             7us (0.22%, 0.00%),             0us (0.00%, 0.00%),             7us (0.75%, 0.01%)
import/darknet/residual1/conv2/batch_normalization/FusedBatchNormV3/Mul-1-ReshapeNHWCToNCHW-LayoutOptimizer           512B (0.01%, 0.00%),             7us (0.22%, 0.00%),             0us (0.00%, 0.00%),             7us (0.74%, 0.01%)
import/darknet/residual5/conv1/batch_normalization/FusedBatchNormV3-1-ReshapeNHWCToNCHW-LayoutOptimizer           512B (0.01%, 0.00%),             7us (0.21%, 0.00%),             0us (0.00%, 0.00%),             7us (0.74%, 0.01%)
import/darknet/residual17/conv1/batch_normalization/FusedBatchNormV3-1-ReshapeNHWCToNCHW-LayoutOptimizer         1.02KB (0.01%, 0.00%),             7us (0.21%, 0.00%),             0us (0.00%, 0.00%),             7us (0.73%, 0.01%)
import/darknet/residual17/conv2/batch_normalization/FusedBatchNormV3/Mul-1-ReshapeNHWCToNCHW-LayoutOptimizer         2.05KB (0.01%, 0.00%),             7us (0.21%, 0.00%),             0us (0.00%, 0.00%),             7us (0.72%, 0.01%)
import/darknet/residual17/conv1/batch_normalization/FusedBatchNormV3/Mul-1-ReshapeNHWCToNCHW-LayoutOptimizer         1.02KB (0.01%, 0.00%),             7us (0.21%, 0.00%),             0us (0.00%, 0.00%),             7us (0.71%, 0.01%)
import/darknet/residual3/conv1/batch_normalization/FusedBatchNormV3/Mul-1-ReshapeNHWCToNCHW-LayoutOptimizer           512B (0.01%, 0.00%),             6us (0.20%, 0.00%),             0us (0.00%, 0.00%),             6us (0.70%, 0.01%)
import/darknet/residual22/conv1/batch_normalization/FusedBatchNormV3/Mul-1-ReshapeNHWCToNCHW-LayoutOptimizer         2.05KB (0.01%, 0.00%),             6us (0.20%, 0.00%),             0us (0.00%, 0.00%),             6us (0.70%, 0.01%)
import/darknet/residual3/conv1/batch_normalization/FusedBatchNormV3-1-ReshapeNHWCToNCHW-LayoutOptimizer           512B (0.01%, 0.00%),             6us (0.20%, 0.00%),             0us (0.00%, 0.00%),             6us (0.69%, 0.01%)
import/conv56/batch_normalization/FusedBatchNormV3-1-ReshapeNHWCToNCHW-LayoutOptimizer         2.05KB (0.01%, 0.00%),             6us (0.20%, 0.00%),             0us (0.00%, 0.00%),             6us (0.68%, 0.01%)
import/conv68/batch_normalization/FusedBatchNormV3/Mul-1-ReshapeNHWCToNCHW-LayoutOptimizer           512B (0.01%, 0.00%),             6us (0.20%, 0.00%),             0us (0.00%, 0.00%),             6us (0.67%, 0.01%)
import/darknet/residual7/conv2/batch_normalization/FusedBatchNormV3/Mul-1-ReshapeNHWCToNCHW-LayoutOptimizer         1.02KB (0.01%, 0.00%),             6us (0.19%, 0.00%),             0us (0.00%, 0.00%),             6us (0.67%, 0.01%)
import/darknet/residual7/conv2/batch_normalization/FusedBatchNormV3-1-ReshapeNHWCToNCHW-LayoutOptimizer         1.02KB (0.01%, 0.00%),             6us (0.19%, 0.00%),             0us (0.00%, 0.00%),             6us (0.66%, 0.01%)
import/conv67/batch_normalization/FusedBatchNormV3-1-ReshapeNHWCToNCHW-LayoutOptimizer         1.02KB (0.01%, 0.00%),             6us (0.19%, 0.00%),             0us (0.00%, 0.00%),             6us (0.65%, 0.01%)
import/darknet/residual8/conv1/batch_normalization/FusedBatchNormV3-1-ReshapeNHWCToNCHW-LayoutOptimizer           512B (0.01%, 0.00%),             6us (0.19%, 0.00%),             0us (0.00%, 0.00%),             6us (0.65%, 0.01%)
import/darknet/residual7/conv1/batch_normalization/FusedBatchNormV3/Mul-1-ReshapeNHWCToNCHW-LayoutOptimizer           512B (0.01%, 0.00%),             6us (0.19%, 0.00%),             0us (0.00%, 0.00%),             6us (0.64%, 0.01%)
import/conv64/batch_normalization/FusedBatchNormV3-1-ReshapeNHWCToNCHW-LayoutOptimizer           512B (0.01%, 0.00%),             6us (0.18%, 0.00%),             0us (0.00%, 0.00%),             6us (0.63%, 0.01%)
import/darknet/residual8/conv1/batch_normalization/FusedBatchNormV3/Mul-1-ReshapeNHWCToNCHW-LayoutOptimizer           512B (0.01%, 0.00%),             6us (0.18%, 0.00%),             0us (0.00%, 0.00%),             6us (0.62%, 0.01%)
import/darknet/residual6/conv2/batch_normalization/FusedBatchNormV3/Mul-1-ReshapeNHWCToNCHW-LayoutOptimizer         1.02KB (0.01%, 0.00%),             6us (0.18%, 0.00%),             0us (0.00%, 0.00%),             6us (0.62%, 0.01%)
import/conv68/batch_normalization/FusedBatchNormV3-1-ReshapeNHWCToNCHW-LayoutOptimizer           512B (0.01%, 0.00%),             6us (0.18%, 0.00%),             0us (0.00%, 0.00%),             6us (0.61%, 0.01%)
import/darknet/residual6/conv1/batch_normalization/FusedBatchNormV3/Mul-1-ReshapeNHWCToNCHW-LayoutOptimizer           512B (0.01%, 0.00%),             6us (0.18%, 0.00%),             0us (0.00%, 0.00%),             6us (0.60%, 0.01%)
import/conv66/batch_normalization/FusedBatchNormV3/Mul-1-ReshapeNHWCToNCHW-LayoutOptimizer           512B (0.01%, 0.00%),             6us (0.17%, 0.00%),             0us (0.00%, 0.00%),             6us (0.60%, 0.01%)
import/darknet/residual9/conv1/batch_normalization/FusedBatchNormV3/Mul-1-ReshapeNHWCToNCHW-LayoutOptimizer           512B (0.01%, 0.00%),             6us (0.17%, 0.00%),             0us (0.00%, 0.00%),             6us (0.59%, 0.01%)
import/darknet/residual6/conv1/batch_normalization/FusedBatchNormV3-1-ReshapeNHWCToNCHW-LayoutOptimizer           512B (0.01%, 0.00%),             6us (0.17%, 0.00%),             0us (0.00%, 0.00%),             6us (0.58%, 0.01%)
import/darknet/residual5/conv2/batch_normalization/FusedBatchNormV3/Mul-1-ReshapeNHWCToNCHW-LayoutOptimizer         1.02KB (0.01%, 0.00%),             6us (0.17%, 0.00%),             0us (0.00%, 0.00%),             6us (0.57%, 0.01%)
import/darknet/residual5/conv2/batch_normalization/FusedBatchNormV3-1-ReshapeNHWCToNCHW-LayoutOptimizer         1.02KB (0.01%, 0.00%),             6us (0.17%, 0.00%),             0us (0.00%, 0.00%),             6us (0.57%, 0.01%)
import/darknet/residual5/conv1/batch_normalization/FusedBatchNormV3/Mul-1-ReshapeNHWCToNCHW-LayoutOptimizer           512B (0.01%, 0.00%),             6us (0.16%, 0.00%),             0us (0.00%, 0.00%),             6us (0.56%, 0.01%)
import/darknet/residual8/conv2/batch_normalization/FusedBatchNormV3/Mul-1-ReshapeNHWCToNCHW-LayoutOptimizer         1.02KB (0.01%, 0.00%),             6us (0.16%, 0.00%),             0us (0.00%, 0.00%),             6us (0.55%, 0.01%)
import/darknet/residual4/conv2/batch_normalization/FusedBatchNormV3-1-ReshapeNHWCToNCHW-LayoutOptimizer         1.02KB (0.01%, 0.00%),             6us (0.16%, 0.00%),             0us (0.00%, 0.00%),             6us (0.55%, 0.01%)
import/conv_lobj_branch/batch_normalization/FusedBatchNormV3/Mul-1-ReshapeNHWCToNCHW-LayoutOptimizer         4.10KB (0.01%, 0.00%),             6us (0.16%, 0.00%),             0us (0.00%, 0.00%),             6us (0.54%, 0.01%)
import/darknet/residual4/conv1/batch_normalization/FusedBatchNormV3/Mul-1-ReshapeNHWCToNCHW-LayoutOptimizer           512B (0.01%, 0.00%),             6us (0.15%, 0.00%),             0us (0.00%, 0.00%),             6us (0.53%, 0.01%)
import/darknet/residual9/conv1/batch_normalization/FusedBatchNormV3-1-ReshapeNHWCToNCHW-LayoutOptimizer           512B (0.01%, 0.00%),             6us (0.15%, 0.00%),             0us (0.00%, 0.00%),             6us (0.53%, 0.01%)
import/conv64/batch_normalization/FusedBatchNormV3/Mul-1-ReshapeNHWCToNCHW-LayoutOptimizer           512B (0.01%, 0.00%),             6us (0.15%, 0.00%),             0us (0.00%, 0.00%),             6us (0.52%, 0.01%)
import/conv_mobj_branch/batch_normalization/FusedBatchNormV3-1-ReshapeNHWCToNCHW-LayoutOptimizer         2.05KB (0.01%, 0.00%),             6us (0.15%, 0.00%),             0us (0.00%, 0.00%),             6us (0.51%, 0.01%)
import/darknet/residual0/conv2/batch_normalization/FusedBatchNormV3/Mul-1-ReshapeNHWCToNCHW-LayoutOptimizer           256B (0.01%, 0.00%),             6us (0.15%, 0.00%),             0us (0.00%, 0.00%),             6us (0.50%, 0.01%)
import/darknet/residual11/conv2/batch_normalization/FusedBatchNormV3-1-ReshapeNHWCToNCHW-LayoutOptimizer         2.05KB (0.01%, 0.00%),             6us (0.14%, 0.00%),             0us (0.00%, 0.00%),             6us (0.50%, 0.01%)
import/conv57/batch_normalization/FusedBatchNormV3/Mul-1-ReshapeNHWCToNCHW-LayoutOptimizer         1.02KB (0.01%, 0.00%),             6us (0.14%, 0.00%),             0us (0.00%, 0.00%),             6us (0.49%, 0.01%)
import/darknet/conv26/batch_normalization/FusedBatchNormV3-1-ReshapeNHWCToNCHW-LayoutOptimizer         2.05KB (0.01%, 0.00%),             6us (0.14%, 0.00%),             0us (0.00%, 0.00%),             6us (0.48%, 0.01%)
import/darknet/residual18/conv1/batch_normalization/FusedBatchNormV3-1-ReshapeNHWCToNCHW-LayoutOptimizer         1.02KB (0.01%, 0.00%),             6us (0.14%, 0.00%),             0us (0.00%, 0.00%),             6us (0.48%, 0.01%)
import/darknet/conv26/batch_normalization/FusedBatchNormV3/Mul-1-ReshapeNHWCToNCHW-LayoutOptimizer         2.05KB (0.01%, 0.00%),             6us (0.14%, 0.00%),             0us (0.00%, 0.00%),             6us (0.47%, 0.01%)
import/conv60/batch_normalization/FusedBatchNormV3/Mul-1-ReshapeNHWCToNCHW-LayoutOptimizer         1.02KB (0.01%, 0.00%),             6us (0.13%, 0.00%),             0us (0.00%, 0.00%),             6us (0.46%, 0.01%)
import/darknet/residual17/conv2/batch_normalization/FusedBatchNormV3-1-ReshapeNHWCToNCHW-LayoutOptimizer         2.05KB (0.01%, 0.00%),             6us (0.13%, 0.00%),             0us (0.00%, 0.00%),             6us (0.45%, 0.01%)
import/conv60/batch_normalization/FusedBatchNormV3-1-ReshapeNHWCToNCHW-LayoutOptimizer         1.02KB (0.01%, 0.00%),             6us (0.13%, 0.00%),             0us (0.00%, 0.00%),             6us (0.45%, 0.01%)
import/darknet/residual16/conv2/batch_normalization/FusedBatchNormV3/Mul-1-ReshapeNHWCToNCHW-LayoutOptimizer         2.05KB (0.01%, 0.00%),             6us (0.13%, 0.00%),             0us (0.00%, 0.00%),             6us (0.44%, 0.01%)
import/darknet/conv4/batch_normalization/FusedBatchNormV3/Mul-1-ReshapeNHWCToNCHW-LayoutOptimizer           512B (0.01%, 0.00%),             6us (0.13%, 0.00%),             0us (0.00%, 0.00%),             6us (0.43%, 0.01%)
import/conv65/batch_normalization/FusedBatchNormV3-1-ReshapeNHWCToNCHW-LayoutOptimizer         1.02KB (0.01%, 0.00%),             6us (0.12%, 0.00%),             0us (0.00%, 0.00%),             6us (0.43%, 0.01%)
import/darknet/residual16/conv1/batch_normalization/FusedBatchNormV3/Mul-1-ReshapeNHWCToNCHW-LayoutOptimizer         1.02KB (0.01%, 0.00%),             6us (0.12%, 0.00%),             0us (0.00%, 0.00%),             6us (0.42%, 0.01%)
import/darknet/residual16/conv1/batch_normalization/FusedBatchNormV3-1-ReshapeNHWCToNCHW-LayoutOptimizer         1.02KB (0.01%, 0.00%),             6us (0.12%, 0.00%),             0us (0.00%, 0.00%),             6us (0.41%, 0.01%)
import/darknet/residual11/conv2/batch_normalization/FusedBatchNormV3/Mul-1-ReshapeNHWCToNCHW-LayoutOptimizer         2.05KB (0.01%, 0.00%),             6us (0.12%, 0.00%),             0us (0.00%, 0.00%),             6us (0.40%, 0.01%)
import/darknet/residual12/conv2/batch_normalization/FusedBatchNormV3-1-ReshapeNHWCToNCHW-LayoutOptimizer         2.05KB (0.01%, 0.00%),             6us (0.12%, 0.00%),             0us (0.00%, 0.00%),             6us (0.40%, 0.01%)
import/darknet/residual15/conv2/batch_normalization/FusedBatchNormV3/Mul-1-ReshapeNHWCToNCHW-LayoutOptimizer         2.05KB (0.01%, 0.00%),             6us (0.11%, 0.00%),             0us (0.00%, 0.00%),             6us (0.39%, 0.01%)
import/darknet/residual13/conv1/batch_normalization/FusedBatchNormV3-1-ReshapeNHWCToNCHW-LayoutOptimizer         1.02KB (0.01%, 0.00%),             6us (0.11%, 0.00%),             0us (0.00%, 0.00%),             6us (0.38%, 0.01%)
import/conv59/batch_normalization/FusedBatchNormV3/Mul-1-ReshapeNHWCToNCHW-LayoutOptimizer         2.05KB (0.01%, 0.00%),             6us (0.11%, 0.00%),             0us (0.00%, 0.00%),             6us (0.38%, 0.01%)
import/darknet/residual15/conv1/batch_normalization/FusedBatchNormV3/Mul-1-ReshapeNHWCToNCHW-LayoutOptimizer         1.02KB (0.01%, 0.00%),             6us (0.11%, 0.00%),             0us (0.00%, 0.00%),             6us (0.37%, 0.01%)
import/darknet/residual13/conv1/batch_normalization/FusedBatchNormV3/Mul-1-ReshapeNHWCToNCHW-LayoutOptimizer         1.02KB (0.01%, 0.00%),             6us (0.11%, 0.00%),             0us (0.00%, 0.00%),             6us (0.36%, 0.01%)
import/darknet/conv9/batch_normalization/FusedBatchNormV3-1-ReshapeNHWCToNCHW-LayoutOptimizer         1.02KB (0.01%, 0.00%),             6us (0.10%, 0.00%),             0us (0.00%, 0.00%),             6us (0.35%, 0.01%)
import/darknet/residual13/conv2/batch_normalization/FusedBatchNormV3-1-ReshapeNHWCToNCHW-LayoutOptimizer         2.05KB (0.01%, 0.00%),             6us (0.10%, 0.00%),             0us (0.00%, 0.00%),             6us (0.35%, 0.01%)
import/darknet/residual14/conv2/batch_normalization/FusedBatchNormV3/Mul-1-ReshapeNHWCToNCHW-LayoutOptimizer         2.05KB (0.01%, 0.00%),             6us (0.10%, 0.00%),             0us (0.00%, 0.00%),             6us (0.34%, 0.01%)
import/darknet/conv9/batch_normalization/FusedBatchNormV3/Mul-1-ReshapeNHWCToNCHW-LayoutOptimizer         1.02KB (0.01%, 0.00%),             6us (0.10%, 0.00%),             0us (0.00%, 0.00%),             6us (0.33%, 0.01%)
import/darknet/residual0/conv1/batch_normalization/FusedBatchNormV3-1-ReshapeNHWCToNCHW-LayoutOptimizer           256B (0.01%, 0.00%),             6us (0.09%, 0.00%),             0us (0.00%, 0.00%),             6us (0.33%, 0.01%)
import/darknet/residual14/conv1/batch_normalization/FusedBatchNormV3-1-ReshapeNHWCToNCHW-LayoutOptimizer         1.02KB (0.01%, 0.00%),             6us (0.09%, 0.00%),             0us (0.00%, 0.00%),             6us (0.32%, 0.01%)
import/conv58/batch_normalization/FusedBatchNormV3/Mul-1-ReshapeNHWCToNCHW-LayoutOptimizer         1.02KB (0.01%, 0.00%),             6us (0.09%, 0.00%),             0us (0.00%, 0.00%),             6us (0.31%, 0.01%)
import/conv61/batch_normalization/FusedBatchNormV3-1-ReshapeNHWCToNCHW-LayoutOptimizer         2.05KB (0.01%, 0.00%),             6us (0.09%, 0.00%),             0us (0.00%, 0.00%),             6us (0.31%, 0.01%)
import/darknet/residual21/conv2/batch_normalization/FusedBatchNormV3/Mul-1-ReshapeNHWCToNCHW-LayoutOptimizer         4.10KB (0.01%, 0.00%),             6us (0.09%, 0.00%),             0us (0.00%, 0.00%),             6us (0.30%, 0.01%)
import/darknet/residual10/conv2/batch_normalization/FusedBatchNormV3-1-ReshapeNHWCToNCHW-LayoutOptimizer         1.02KB (0.00%, 0.00%),             6us (0.08%, 0.00%),             0us (0.00%, 0.00%),             6us (0.29%, 0.01%)
import/darknet/residual21/conv2/batch_normalization/FusedBatchNormV3-1-ReshapeNHWCToNCHW-LayoutOptimizer         4.10KB (0.00%, 0.00%),             6us (0.08%, 0.00%),             0us (0.00%, 0.00%),             6us (0.28%, 0.01%)
import/conv_sobj_branch/batch_normalization/FusedBatchNormV3/Mul-1-ReshapeNHWCToNCHW-LayoutOptimizer         1.02KB (0.00%, 0.00%),             6us (0.08%, 0.00%),             0us (0.00%, 0.00%),             6us (0.28%, 0.01%)
import/darknet/residual21/conv1/batch_normalization/FusedBatchNormV3/Mul-1-ReshapeNHWCToNCHW-LayoutOptimizer         2.05KB (0.00%, 0.00%),             6us (0.08%, 0.00%),             0us (0.00%, 0.00%),             6us (0.27%, 0.01%)
import/darknet/residual1/conv2/batch_normalization/FusedBatchNormV3-1-ReshapeNHWCToNCHW-LayoutOptimizer           512B (0.00%, 0.00%),             6us (0.08%, 0.00%),             0us (0.00%, 0.00%),             6us (0.26%, 0.01%)
import/darknet/residual10/conv2/batch_normalization/FusedBatchNormV3/Mul-1-ReshapeNHWCToNCHW-LayoutOptimizer         1.02KB (0.00%, 0.00%),             6us (0.07%, 0.00%),             0us (0.00%, 0.00%),             6us (0.26%, 0.01%)
import/darknet/residual20/conv2/batch_normalization/FusedBatchNormV3/Mul-1-ReshapeNHWCToNCHW-LayoutOptimizer         4.10KB (0.00%, 0.00%),             6us (0.07%, 0.00%),             0us (0.00%, 0.00%),             6us (0.25%, 0.01%)
import/conv62/batch_normalization/FusedBatchNormV3-1-ReshapeNHWCToNCHW-LayoutOptimizer         1.02KB (0.00%, 0.00%),             6us (0.07%, 0.00%),             0us (0.00%, 0.00%),             6us (0.24%, 0.01%)
import/darknet/conv0/batch_normalization/FusedBatchNormV3-1-ReshapeNHWCToNCHW-LayoutOptimizer           256B (0.00%, 0.00%),             6us (0.07%, 0.00%),             0us (0.00%, 0.00%),             6us (0.23%, 0.01%)
import/darknet/residual20/conv1/batch_normalization/FusedBatchNormV3-1-ReshapeNHWCToNCHW-LayoutOptimizer         2.05KB (0.00%, 0.00%),             6us (0.07%, 0.00%),             0us (0.00%, 0.00%),             6us (0.23%, 0.01%)
import/darknet/residual2/conv2/batch_normalization/FusedBatchNormV3/Mul-1-ReshapeNHWCToNCHW-LayoutOptimizer           512B (0.00%, 0.00%),             6us (0.06%, 0.00%),             0us (0.00%, 0.00%),             6us (0.22%, 0.01%)
import/darknet/residual11/conv1/batch_normalization/FusedBatchNormV3-1-ReshapeNHWCToNCHW-LayoutOptimizer         1.02KB (0.00%, 0.00%),             6us (0.06%, 0.00%),             0us (0.00%, 0.00%),             6us (0.21%, 0.01%)
import/darknet/residual19/conv2/batch_normalization/FusedBatchNormV3-1-ReshapeNHWCToNCHW-LayoutOptimizer         4.10KB (0.00%, 0.00%),             6us (0.06%, 0.00%),             0us (0.00%, 0.00%),             6us (0.21%, 0.01%)
import/conv57/batch_normalization/FusedBatchNormV3-1-ReshapeNHWCToNCHW-LayoutOptimizer         1.02KB (0.00%, 0.00%),             6us (0.06%, 0.00%),             0us (0.00%, 0.00%),             6us (0.20%, 0.01%)
import/darknet/residual18/conv2/batch_normalization/FusedBatchNormV3/Mul-1-ReshapeNHWCToNCHW-LayoutOptimizer         2.05KB (0.00%, 0.00%),             6us (0.06%, 0.00%),             0us (0.00%, 0.00%),             6us (0.19%, 0.01%)
import/conv54/batch_normalization/FusedBatchNormV3/Mul-1-ReshapeNHWCToNCHW-LayoutOptimizer         2.05KB (0.00%, 0.00%),             6us (0.05%, 0.00%),             0us (0.00%, 0.00%),             6us (0.18%, 0.01%)
import/darknet/residual19/conv1/batch_normalization/FusedBatchNormV3-1-ReshapeNHWCToNCHW-LayoutOptimizer         2.05KB (0.00%, 0.00%),             6us (0.05%, 0.00%),             0us (0.00%, 0.00%),             6us (0.18%, 0.01%)
import/conv61/batch_normalization/FusedBatchNormV3/Mul-1-ReshapeNHWCToNCHW-LayoutOptimizer         2.05KB (0.00%, 0.00%),             6us (0.05%, 0.00%),             0us (0.00%, 0.00%),             6us (0.17%, 0.01%)
import/darknet/residual19/conv2/batch_normalization/FusedBatchNormV3/Mul-1-ReshapeNHWCToNCHW-LayoutOptimizer         4.10KB (0.00%, 0.00%),             6us (0.05%, 0.00%),             0us (0.00%, 0.00%),             6us (0.16%, 0.01%)
import/conv53/batch_normalization/FusedBatchNormV3/Mul-1-ReshapeNHWCToNCHW-LayoutOptimizer         4.10KB (0.00%, 0.00%),             6us (0.05%, 0.00%),             0us (0.00%, 0.00%),             6us (0.16%, 0.01%)
