time_stamp,Month,Average 60 m temperature,Average 60 m wind speed,Vector-averaged 60 m wind speed,Vector-averaged 60 m wind direction,Standard deviation of 60 m wind direction,Total precipitaion for the period,Estimated heat flux,Estimated friction velocity,Average 10 m temperature,Average 10 m wind speed,Vector-averaged 10 m wind speed,Vector-averaged 10 m wind direction,Standard deviation of 10 m wind direction,Average global irrradiation,Average net radiation,Estimated surface roughness length,day_month,Average 10 m vapor pressure,Average 10 m dew point temperature,hour_min,time_stamp,target,p_target
2020_01_01_17_00,01,4.0943,757.74,747.93,190.87,9.2129,0.0,0.0,49.78,4.2295,535.28,523.04,197.46,12.25,0.0,-37.263000000000005,12.27,01,0.632,0.4566,17_00,2020_01_01_17_00,0,0
2020_01_01_17_15,01,4.0436,802.06,791.35,194.78,9.3596,0.0,0.0,63.26,4.1105,522.5,511.22,201.2,11.9,0.0,-38.18,33.96,01,0.635,0.5155,17_15,2020_01_01_17_15,0,0
2020_01_01_17_30,01,4.0284,786.59,776.24,193.86,9.2909,0.0,0.0,51.83,4.1023,555.36,542.49,201.98,12.329,0.0,-38.699,12.46,01,0.634,0.4863,17_30,2020_01_01_17_30,0,0
2020_01_01_17_45,01,4.0032,761.47,752.8,192.38,8.6445,0.0,0.0,49.21,4.1177,542.45,529.59,199.1,12.470999999999998,0.0,-29.410999999999998,10.97,01,0.634,0.4851,17_45,2020_01_01_17_45,0,0
2020_01_01_18_00,01,4.0359,798.02,787.6,192.68,9.256,0.0,0.0,69.28,4.115,493.15,478.15,200.5,14.126,0.0,-30.624000000000002,54.16,01,0.634,0.4995,18_00,2020_01_01_18_00,0,0
2020_01_01_18_15,01,4.0573,784.65,773.38,191.53,9.7091,0.0,0.0,62.15,4.0942,509.71,497.05,195.75,12.767999999999999,0.0,-39.475,34.8,01,0.631,0.4298,18_15,2020_01_01_18_15,0,0
2020_01_01_18_30,01,4.1844,843.88,832.22,191.45,9.5212,0.0,0.0,69.3,4.2113,538.32,525.32,199.18,12.585999999999999,0.0,-39.714,41.52,01,0.625,0.2974,18_30,2020_01_01_18_30,0,0
2020_01_01_18_45,01,4.1733,858.32,844.1,191.02,10.424000000000001,0.0,0.0,66.43,4.2376,565.25,548.85,198.63,13.797,0.0,-37.336999999999996,30.64,01,0.625,0.292,18_45,2020_01_01_18_45,0,0
2020_01_01_19_00,01,4.1327,881.07,869.28,193.73,9.3702,0.0,0.0,69.26,4.2147,575.83,559.45,201.97,13.661,0.0,-37.244,33.19,01,0.634,0.4863,19_00,2020_01_01_19_00,0,0
2020_01_01_19_15,01,4.3602,902.95,891.6,195.57,9.0808,0.0,0.0,67.47,4.4108,605.51,589.47,202.21,13.184000000000001,0.0,-35.868,25.32,01,0.631,0.427,19_15,2020_01_01_19_15,0,0
2020_01_01_19_30,01,4.6089,897.86,886.04,194.51,9.2943,0.0,0.0,59.24,4.664,635.65,623.44,200.55,11.228,0.0,-35.827,12.34,01,0.619,0.1558,19_30,2020_01_01_19_30,0,0
2020_01_01_19_45,01,4.609,925.46,912.54,189.29,9.5717,0.0,0.0,78.7,4.6219,579.66,567.35,196.32,11.8,0.0,-35.139,48.91,01,0.608,0.9420000000000001,19_45,2020_01_01_19_45,0,0
2020_01_01_20_00,01,4.6204,921.89,912.17,189.58,8.3166,0.0,0.0,68.64,4.6933,619.78,605.63,197.21,12.241,0.0,-31.052,24.73,01,0.605,0.1626,20_00,2020_01_01_20_00,0,0
2020_01_01_20_15,01,4.6362,915.69,901.1,193.64,10.226,0.0,0.0,62.45,4.6909,639.69,624.8,198.67,12.357999999999999,0.0,-36.869,15.06,01,0.593,0.4246,20_15,2020_01_01_20_15,0,0
2020_01_01_20_30,01,4.704,895.38,882.85,194.48,9.5829,0.0,0.0,61.36,4.7561,623.91,611.58,201.2,11.385,0.0,-38.327,15.53,01,0.584,0.6486,20_30,2020_01_01_20_30,0,0
2020_01_01_20_45,01,4.9297,899.4,887.92,195.87,9.1529,0.0,0.0,69.47,4.9334,593.17,579.47,200.12,12.31,0.0,-38.631,30.27,01,0.5710000000000001,0.9497,20_45,2020_01_01_20_45,0,0
2020_01_01_21_00,01,5.2326,953.84,937.93,197.51,10.462,0.0,0.0,80.01,5.2076,602.21,584.72,202.58,13.802,0.0,-38.758,45.78,01,0.5589999999999999,-1.233,21_00,2020_01_01_21_00,0,0
2020_01_01_21_15,01,5.3672,946.66,934.24,197.76,9.2778,0.0,0.0,67.83,5.4008,647.44,632.58,201.55,12.269,0.0,-39.317,20.04,01,0.551,-1.4204,21_15,2020_01_01_21_15,0,0
2020_01_01_21_30,01,5.2256,952.44,939.76,198.0,9.3455,0.0,0.0,62.8,5.2983,674.72,660.54,199.0,11.742,0.0,-39.641,12.26,01,0.551,-1.4387,21_30,2020_01_01_21_30,0,0
2020_01_01_21_45,01,4.9373,913.64,900.18,196.68,9.8317,0.0,0.0,67.28,4.9922,616.67,602.49,201.4,12.280999999999999,0.0,-40.438,23.42,01,0.5529999999999999,-1.3906,21_45,2020_01_01_21_45,0,0
2020_01_01_22_00,01,4.7974,853.5,841.63,198.99,9.5529,0.0,0.0,57.69,4.8779,597.4,583.54,203.99,12.337,0.0,-40.703,14.4,01,0.5489999999999999,-1.4798,22_00,2020_01_01_22_00,0,0
2020_01_01_22_15,01,4.7146,887.79,874.71,199.45,9.8316,0.0,0.0,56.28,4.805,637.6,621.59,205.88,12.833,0.0,-41.06100000000001,9.67,01,0.545,-1.5836,22_15,2020_01_01_22_15,0,0
2020_01_01_22_30,01,4.6321,868.33,857.27,200.0,9.1391,0.0,0.0,64.75,4.6602,582.11,566.99,204.32,13.052999999999999,0.0,-41.538000000000004,25.18,01,0.542,-1.6474,22_30,2020_01_01_22_30,0,0
