RAM 6116/31919MB (lfb 4799x4MB) SWAP 0/15959MB (cached 0MB) CPU [84%@2263,11%@2264,9%@2263,5%@2263,26%@2263,21%@2264,8%@2263,13%@2263] EMC_FREQ 50%@2133 GR3D_FREQ 99%@1377 APE 150 MTS fg 0% bg 0% AO@39C GPU@44.5C Tdiode@44.5C PMIC@100C AUX@38C CPU@40.5C thermal@40.7C Tboard@39C GPU 16107/16354 CPU 2455/2580 SOC 4295/4321 CV 0/0 VDDRQ 2609/2627 SYS5V 4472/4475
RAM 6116/31919MB (lfb 4799x4MB) SWAP 0/15959MB (cached 0MB) CPU [85%@2263,10%@2263,13%@2263,13%@2263,20%@2263,22%@2263,10%@2263,6%@2263] EMC_FREQ 50%@2133 GR3D_FREQ 78%@1377 APE 150 MTS fg 0% bg 0% AO@39C GPU@44C Tdiode@44.75C PMIC@100C AUX@38C CPU@41C thermal@40.85C Tboard@39C GPU 15954/16337 CPU 2609/2581 SOC 4297/4320 CV 0/0 VDDRQ 2609/2626 SYS5V 4432/4473
RAM 6116/31919MB (lfb 4799x4MB) SWAP 0/15959MB (cached 0MB) CPU [91%@2261,23%@2262,23%@2262,14%@2262,5%@2262,3%@2262,9%@2262,9%@2263] EMC_FREQ 47%@2133 GR3D_FREQ 47%@1377 APE 150 MTS fg 0% bg 0% AO@39C GPU@42C Tdiode@44.75C PMIC@100C AUX@38C CPU@40.5C thermal@40.25C Tboard@39C GPU 13977/16243 CPU 2304/2570 SOC 3995/4307 CV 0/0 VDDRQ 2304/2613 SYS5V 4313/4467
RAM 6116/31919MB (lfb 4799x4MB) SWAP 0/15959MB (cached 0MB) CPU [89%@2264,14%@2264,17%@2264,12%@2264,11%@2264,8%@2264,12%@2264,9%@2263] EMC_FREQ 46%@2133 GR3D_FREQ 99%@1377 APE 150 MTS fg 0% bg 0% AO@39C GPU@44.5C Tdiode@44.5C PMIC@100C AUX@38C CPU@40.5C thermal@40.85C Tboard@39C GPU 14892/16191 CPU 2457/2566 SOC 4147/4301 CV 0/0 VDDRQ 2457/2607 SYS5V 4353/4462
RAM 6117/31919MB (lfb 4799x4MB) SWAP 0/15959MB (cached 0MB) CPU [92%@2263,22%@2263,18%@2263,12%@2263,13%@2263,11%@2264,7%@2264,8%@2263] EMC_FREQ 50%@2133 GR3D_FREQ 99%@1377 APE 150 MTS fg 0% bg 0% AO@39C GPU@44.5C Tdiode@44.75C PMIC@100C AUX@38C CPU@41C thermal@40.85C Tboard@39C GPU 16714/16210 CPU 2607/2567 SOC 4446/4306 CV 0/0 VDDRQ 2761/2613 SYS5V 4512/4464
RAM 6117/31919MB (lfb 4799x4MB) SWAP 0/15959MB (cached 0MB) CPU [91%@2262,21%@2263,15%@2263,17%@2263,5%@2263,7%@2263,10%@2263,6%@2263] EMC_FREQ 48%@2133 GR3D_FREQ 99%@1377 APE 150 MTS fg 0% bg 0% AO@39C GPU@42C Tdiode@44.5C PMIC@100C AUX@38C CPU@40.5C thermal@40.7C Tboard@39C GPU 13824/16125 CPU 2304/2558 SOC 3995/4295 CV 0/0 VDDRQ 2304/2602 SYS5V 4313/4459
RAM 6118/31919MB (lfb 4799x4MB) SWAP 0/15959MB (cached 0MB) CPU [90%@2264,14%@2263,17%@2263,11%@2264,19%@2264,9%@2264,8%@2263,3%@2263] EMC_FREQ 46%@2133 GR3D_FREQ 98%@1377 APE 150 MTS fg 0% bg 0% AO@39C GPU@42.5C Tdiode@44.75C PMIC@100C AUX@38C CPU@40.5C thermal@40.1C Tboard@39C GPU 14131/16056 CPU 2304/2549 SOC 3995/4285 CV 0/0 VDDRQ 2304/2591 SYS5V 4353/4455
RAM 6117/31919MB (lfb 4799x4MB) SWAP 0/15959MB (cached 0MB) CPU [81%@2264,11%@2263,8%@2263,11%@2264,8%@2263,9%@2263,22%@2263,30%@2264] EMC_FREQ 49%@2133 GR3D_FREQ 99%@1377 APE 150 MTS fg 0% bg 0% AO@39C GPU@44.5C Tdiode@44.75C PMIC@100C AUX@38C CPU@41C thermal@40.85C Tboard@39C GPU 16860/16083 CPU 2453/2546 SOC 4446/4290 CV 0/0 VDDRQ 2760/2597 SYS5V 4512/4457
RAM 6116/31919MB (lfb 4799x4MB) SWAP 0/15959MB (cached 0MB) CPU [86%@2264,10%@2263,8%@2264,13%@2263,10%@2263,10%@2263,27%@2263,24%@2263] EMC_FREQ 46%@2133 GR3D_FREQ 99%@1377 APE 150 MTS fg 0% bg 0% AO@38.5C GPU@43C Tdiode@44.75C PMIC@100C AUX@38C CPU@41C thermal@40.85C Tboard@39C GPU 13824/16010 CPU 2457/2543 SOC 3995/4280 CV 0/0 VDDRQ 2304/2588 SYS5V 4313/4452
RAM 6116/31919MB (lfb 4799x4MB) SWAP 0/15959MB (cached 0MB) CPU [84%@2263,7%@2263,7%@2263,10%@2263,9%@2263,7%@2263,22%@2263,27%@2263] EMC_FREQ 49%@2133 GR3D_FREQ 99%@1377 APE 150 MTS fg 0% bg 0% AO@39C GPU@45C Tdiode@44.75C PMIC@100C AUX@38C CPU@41C thermal@40.7C Tboard@39C GPU 16561/16027 CPU 2454/2540 SOC 4295/4281 CV 0/0 VDDRQ 2607/2588 SYS5V 4472/4453
