9,9.0,2,   ,68.2,-0.1550,3.3670,7.0800,99999,     X ,111111001,11000011,111110
 M  ,1,3,20,615,0.5300,811.11,802.57,177.67,8.3108,0.0000,99999,99999
0,434,4,-4,6275,0.4740,99999,99999,99999,99999,0.3830,-37.401,99999
98,0.97,2,67,0.504,99999,99999,99999,99999,     X ,111111001,11000011,110000
 M  ,1,3,20,630,0.7555,879.57,873.39,178.27,6.7917,0.0000,99999,99999
0,439,1,-4,4860,0.7145,99999,99999,99999,99999,3.4475,-29.059,99999
98,0.95,1,66,0.988,99999,99999,99999,99999,     X ,111111001,11000011,110000
 M  ,1,3,20,645,1.0264,906.73,899.92,181.14,7.0229,0.0000,99999,99999
0,445,0,-4,3062,1.0285,99999,99999,99999,99999,11.849,-7.3108,99999
98,0.94,2,66,0.605,99999,99999,99999,99999,     X ,111111001,11000011,110000
 M  ,1,3,20,700,1.2598,935.70,925.68,180.51,8.3830,0.0000,99999,99999
0,449,3,-4,1784,1.3389,99999,99999,99999,99999,26.962,3.5576,99999
98,0.94,2,65,0.849,99999,99999,99999,99999,     X ,111111001,11000011,110000
 H  ,1,3,20,700,0.893,883.28,875.11,179.46,7.7895,0.0000,99999,99999
0,442,0,-4,0.400,0.889,99999,99999,99999,99999,10.7,-17.6,99999
9,8.9,5,   ,66.7,-0.1530,3.3740,7.0900,99999,     X ,111111001,11000011,111110
 M  ,1,3,20,715,1.4789,970.97,962.52,183.09,7.5561,0.0000,99999,99999
0,456,7,-3,9610,1.5022,99999,99999,99999,99999,55.959,7.0904,99999
98,0.94,3,65,0.897,99999,99999,99999,99999,     X ,111111001,11000011,110000
 M  ,1,3,20,730,1.6010,921.24,912.16,183.79,8.0405,0.0000,99999,99999
0,460,9,-3,8423,1.7235,99999,99999,99999,99999,82.991,29.932,99999
98,0.94,3,65,0.434,99999,99999,99999,99999,     X ,111111001,11000011,110000
 M  ,1,3,20,745,1.7886,936.26,927.70,184.36,7.7472,0.0000,99999,99999
0,464,2,-3,7476,1.9656,99999,99999,99999,99999,84.603,34.640,99999
98,0.92,7,64,0.774,99999,99999,99999,99999,     X ,111111001,11000011,110000
 M  ,1,3,20,800,2.0873,1021.4,1012.7,185.01,7.4984,0.0000,99999,99999
0,468,3,-3,6277,2.2775,99999,99999,99999,99999,154.82,73.210,99999
98,0.91,9,64,0.075,99999,99999,99999,99999,     X ,111111001,11000011,110000
 H  ,1,3,20,800,1.739,962.48,953.69,184.07,7.7393,0.0000,99999,99999
0,462,5,-3,0.795,1.867,99999,99999,99999,99999,94.6,36.2,99999
9,8.9,3,   ,65.0,-0.1410,3.3780,7.1000,99999,     X ,111111001,11000011,111110
 M  ,1,3,20,815,2.5817,955.17,945.69,186.37,8.0711,0.0000,99999,99999
0,475,0,-3,4379,2.8030,99999,99999,99999,99999,182.18,86.722,99999
98,0.91,7,62,0.737,99999,99999,99999,99999,     X ,111111001,11000011,110000
 M  ,1,3,20,830,3.0791,934.97,923.24,187.55,9.0717,0.0000,99999,99999
0,483,7,-3,1950,3.3534,99999,99999,99999,99999,243.30,118.61,99999
98,0.91,7,61,0.314,99999,99999,99999,99999,     X ,111111001,11000011,110000
 M  ,1,3,20,845,3.4783,983.66,972.44,188.61,8.6521,0.0000,99999,99999
0,490,4,-3,110,3.7494,99999,99999,99999,99999,321.64,161.47,99999
98,0.91,6,60,0.455,99999,99999,99999,99999,     X ,111111001,11000011,110000
 M  ,1,3,20,900,3.9685,915.77,902.99,192.02,9.5690,0.0000,99999,99999
0,501,7,-2,7050,4.3026,99999,99999,99999,99999,391.14,209.60,99999
98,0.92,8,59,0.405,99999,99999,99999,99999,     X ,111111001,11000011,110000
 H  ,1,3,20,900,3.277,947.39,935.47,188.60,9.0864,0.0000,99999,99999
0,487,7,-3,0.087,3.552,99999,99999,99999,99999,284.6,144.1,99999
9,8.9,2,   ,61.0,-0.1260,3.3890,7.1100,99999,     X ,111111001,11000011,111110
 M  ,1,3,20,915,4.4433,847.85,838.32,192.42,8.5839,0.0000,99999,99999
0,515,3,-2,3454,4.7980,99999,99999,99999,99999,418.94,227.34,99999
98,0.94,4,58,0.937,99999,99999,99999,99999,     X ,111111001,11000011,110000
 M  ,1,3,20,930,5.2685,839.54,825.06,192.74,10.638,0.0000,99999,99999
0,533,0,-1,8925,5.6267,99999,99999,99999,99999,488.85,276.40,99999
98,0.96,5,57,0.342,99999,99999,99999,99999,     X ,111111001,11000011,110000
 M  ,1,3,20,945,5.7061,840.92,829.90,194.03,9.2723,0.0000,99999,99999
0,542,5,-1,6518,6.1450,99999,99999,99999,99999,515.93,297.19,99999
98,0.96,6,56,0.381,99999,99999,99999,99999,     X ,111111001,11000011,110000
 M  ,1,3,20,1000,6.1812,860.54,847.43,193.54,9.9982,0.0000,99999,99999
0,556,8,-1,3017,6.7174,99999,99999,99999,99999,531.75,313.98,99999
98,0.98,6,55,0.420,99999,99999,99999,99999,     X ,111111001,11000011,110000
 H  ,1,3,20,1000,5.400,847.21,835.12,193.19,9.6740,0.0000,99999,99999
0,536,9,-1,0.798,5.822,99999,99999,99999,99999,488.9,278.7,99999
9,8.9,7,   ,57.0,-0.1050,3.4090,7.1300,99999,     X ,111111001,11000011,111110
 M  ,1,3,20,1015,6.8766,716.91,705.02,197.78,10.432,0.0000,99999,99999
0,567,2,-1,481,7.3829,99999,99999,99999,99999,538.22,319.10,99999
98,0.99,1,54,0.347,99999,99999,99999,99999,     X ,111111001,11000011,110000
 M  ,1,3,20,1030,7.2347,781.26,773.00,191.46,8.3248,0.0000,99999,99999
0,581,7,0,7041,7.8611,99999,99999,99999,99999,586.17,357.15,99999
98,0.99,0,53,0.800,99999,99999,99999,99999,     X ,111111001,11000011,110000
 M  ,1,3,20,1045,7.6756,760.65,752.37,191.35,8.4548,0.0000,99999,99999
0,592,1,0,4595,8.3224,99999,99999,99999,99999,628.91,390.92,99999
98,0.97,3,53,0.306,99999,99999,99999,99999,     X ,111111001,11000011,110000
 M  ,1,3,20,1100,8.3086,744.59,734.72,189.96,9.3291,0.0000,99999,99999
0,615,6,0,670,9.0205,99999,99999,99999,99999,659.77,416.32,99999
98,0.95,4,52,0.651,99999,99999,99999,99999,     X ,111111001,11000011,110000
 H  ,1,3,20,1100,7.524,750.85,740.28,192.56,9.6119,0.0000,99999,99999
0,589,2,0,0.536,8.147,99999,99999,99999,99999,603.3,370.9,99999
9,8.9,8,   ,53.5,-0.0940,3.4240,7.1400,99999,     X ,111111001,11000011,111110
 M  ,1,3,20,1115,9.1758,674.10,659.26,195.69,12.021,0.0000,99999,99999
0,634,0,0,4774,9.9508,99999,99999,99999,99999,664.10,415.16,99999
98,0.95,0,51,0.229,99999,99999,99999,99999,     X ,111111001,11000011,110000
 M  ,1,3,20,1130,9.6025,782.39,772.08,199.85,9.2943,0.0000,99999,99999
0,642,7,0,6675,10.356,99999,99999,99999,99999,628.30,386.01,99999
98,0.93,5,50,0.480,99999,99999,99999,99999,     X ,111111001,11000011,110000
 M  ,1,3,20,1145,10.546,725.73,711.55,199.60,11.322,0.0000,99999,99999
0,663,8,1,1142,11.306,99999,99999,99999,99999,660.13,417.25,99999
98,0.91,7,49,0.043,99999,99999,99999,99999,     X ,111111001,11000011,110000
 M  ,1,3,20,1200,10.824,785.42,766.24,200.05,12.657,0.0000,99999,99999
0,678,0,1,4070,11.665,99999,99999,99999,99999,622.21,390.86,99999
98,0.89,4,48,0.662,99999,99999,99999,99999,     X ,111111001,11000011,110000
 H  ,1,3,20,1200,10.037,741.91,726.95,198.90,11.504,0.0000,99999,99999
0,654,6,0,0.917,10.819,99999,99999,99999,99999,643.7,402.3,99999
9,8.9,2,   ,49.9,-0.0890,3.4340,7.1500,99999,     X ,111111001,11000011,111110
 M  ,1,3,20,1215,11.021,819.30,803.62,203.10,11.207,0.0000,99999,99999
0,685,1,1,5556,11.818,99999,99999,99999,99999,615.34,383.90,99999
98,0.88,0,48,0.890,99999,99999,99999,99999,     X ,111111001,11000011,110000
 M  ,1,3,20,1230,11.508,845.52,829.41,205.03,11.181,0.0000,99999,99999
0,703,1,1,9138,12.277,99999,99999,99999,99999,665.36,421.90,99999
98,0.85,0,48,0.651,99999,99999,99999,99999,     X ,111111001,11000011,110000
 M  ,1,3,20,1245,11.960,781.89,761.31,205.02,13.143,0.0000,99999,99999
0,719,1,2,2281,12.697,99999,99999,99999,99999,663.81,420.86,99999
98,0.83,9,48,0.489,99999,99999,99999,99999,     X ,111111001,11000011,110000
 M  ,1,3,20,1300,12.387,771.58,755.97,207.97,11.521,0.0000,99999,99999
0,746,2,2,7479,13.227,99999,99999,99999,99999,578.07,356.73,99999
98,0.82,5,48,0.300,99999,99999,99999,99999,     X ,111111001,11000011,110000
 H  ,1,3,20,1300,11.719,804.57,787.22,205.24,11.896,0.0000,99999,99999
0,713,4,2,0.111,12.505,99999,99999,99999,99999,630.6,395.8,99999
9,8.8,5,   ,48.6,-0.0890,3.4590,7.1500,99999,     X ,111111001,11000011,111110
 M  ,1,3,20,1315,12.660,745.94,729.94,208.67,11.866,0.0000,99999,99999
0,756,3,2,9334,13.344,99999,99999,99999,99999,599.22,372.20,99999
98,0.82,0,48,0.662,99999,99999,99999,99999,     X ,111111001,11000011,110000
 M  ,1,3,20,1330,12.694,729.91,715.66,210.82,11.317,0.0000,99999,99999
0,769,2,3,1762,13.444,99999,99999,99999,99999,568.53,348.02,99999
98,0.80,9,49,0.356,99999,99999,99999,99999,     X ,111111001,11000011,110000
 M  ,1,3,20,1345,12.801,789.72,777.05,218.50,10.262,0.0000,99999,99999
0,779,2,3,3611,13.538,99999,99999,99999,99999,504.57,301.55,99999
98,0.80,9,49,0.911,99999,99999,99999,99999,     X ,111111001,11000011,110000
 M  ,1,3,20,1400,12.988,761.23,746.40,213.11,11.305,0.0000,99999,99999
0,799,0,3,7148,13.708,99999,99999,99999,99999,508.56,302.56,99999
98,0.80,8,50,0.263,99999,99999,99999,99999,     X ,111111001,11000011,110000
 H  ,1,3,20,1400,12.786,756.70,740.71,212.88,11.773,0.0000,99999,99999
0,775,9,3,0.296,13.509,99999,99999,99999,99999,545.2,331.1,99999
9,8.8,1,   ,49.5,-0.0790,3.4790,7.1500,99999,     X ,111111001,11000011,111110
 M  ,1,3,20,1415,12.856,778.30,764.41,216.60,10.821,0.0000,99999,99999
0,816,3,4,148,13.581,99999,99999,99999,99999,429.90,247.89,99999
98,0.80,0,51,0.528,99999,99999,99999,99999,     X ,111111001,11000011,110000
 M  ,1,3,20,1430,12.626,816.55,806.67,216.09,8.9122,0.0000,99999,99999
0,821,7,4,1113,13.324,99999,99999,99999,99999,386.41,216.14,99999
98,0.79,0,52,0.860,99999,99999,99999,99999,     X ,111111001,11000011,110000
 M  ,1,3,20,1445,12.372,750.61,738.13,211.42,10.445,0.0000,99999,99999
0,828,6,4,2297,12.952,99999,99999,99999,99999,305.50,159.98,99999
98,0.78,3,54,0.508,99999,99999,99999,99999,     X ,111111001,11000011,110000
 M  ,1,3,20,1500,12.100,763.64,749.97,208.63,10.839,0.0000,99999,99999
0,833,3,4,3122,12.649,99999,99999,99999,99999,230.64,116.26,99999
98,0.78,5,56,0.149,99999,99999,99999,99999,     X ,111111001,11000011,110000
 H  ,1,3,20,1500,12.489,777.28,763.52,213.26,10.778,0.0000,99999,99999
0,825,0,4,0.167,13.127,99999,99999,99999,99999,338.1,185.1,99999
9,8.7,9,   ,53.8,-0.0810,3.4910,7.1500,99999,     X ,111111001,11000011,111110
 M  ,1,3,20,1515,11.770,797.98,787.24,207.85,9.4009,0.0000,99999,99999
0,848,5,4,5664,12.214,99999,99999,99999,99999,216.17,110.65,99999
98,0.78,6,58,0.753,99999,99999,99999,99999,     X ,111111001,11000011,110000
 M  ,1,3,20,1530,11.776,797.96,787.32,208.33,9.3535,0.0000,99999,99999
0,854,7,4,6743,12.252,99999,99999,99999,99999,259.03,140.65,99999
98,0.78,6,59,0.271,99999,99999,99999,99999,     X ,111111001,11000011,110000
 M  ,1,3,20,1545,12.021,719.07,706.87,203.54,10.552,0.0000,99999,99999
0,876,5,5,366,12.675,99999,99999,99999,99999,359.53,196.91,99999
98,0.78,2,59,0.260,99999,99999,99999,99999,     X ,111111001,11000011,110000
 M  ,1,3,20,1600,12.060,680.14,669.40,203.04,10.176,0.0000,99999,99999
0,889,3,5,2459,12.653,99999,99999,99999,99999,308.87,148.68,99999
98,0.79,1,60,0.409,99999,99999,99999,99999,     X ,111111001,11000011,110000
 H  ,1,3,20,1600,11.907,748.79,737.06,205.85,10.139,0.0000,99999,99999
0,867,2,4,0.881,12.448,99999,99999,99999,99999,285.9,149.2,99999
9,8.7,9,   ,59.4,-0.0850,3.4940,7.1500,99999,     X ,111111001,11000011,111110
 M  ,1,3,20,1615,11.851,680.48,671.49,204.09,9.3088,0.0000,99999,99999
0,908,7,5,5536,12.270,99999,99999,99999,99999,135.47,42.577,99999
98,0.79,2,62,0.617,99999,99999,99999,99999,     X ,111111001,11000011,110000
 M  ,1,3,20,1630,11.642,587.36,579.46,197.88,9.3979,0.0000,99999,99999
0,917,2,5,6824,12.019,99999,99999,99999,99999,181.75,75.705,99999
98,0.78,2,64,0.465,99999,99999,99999,99999,     X ,111111001,11000011,110000
 M  ,1,3,20,1645,11.978,646.02,637.29,199.55,9.4211,0.0000,99999,99999
0,937,4,6,23,12.459,99999,99999,99999,99999,204.98,86.065,99999
98,0.77,9,64,0.324,99999,99999,99999,99999,     X ,111111001,11000011,110000
 M  ,1,3,20,1700,11.818,615.54,606.24,195.86,9.9555,0.0000,99999,99999
0,947,8,6,1614,12.209,99999,99999,99999,99999,118.72,32.900,99999
98,0.78,7,65,0.732,99999,99999,99999,99999,     X ,111111001,11000011,110000
 H  ,1,3,20,1700,11.822,632.35,622.72,199.49,9.9984,0.0000,99999,99999
0,927,8,5,0.850,12.239,99999,99999,99999,99999,160.2,59.3,99999
9,8.7,9,   ,64.3,-0.0800,3.5020,7.1500,99999,     X ,111111001,11000011,111110
 M  ,1,3,20,1715,11.593,621.12,614.22,199.09,8.5330,0.0000,99999,99999
0,954,3,6,2624,11.817,99999,99999,99999,99999,54.001,-6.3210,99999
98,0.78,7,67,0.841,99999,99999,99999,99999,     X ,111111001,11000011,110000
 M  ,1,3,20,1730,11.583,610.95,604.89,203.76,8.0672,0.0000,99999,99999
0,960,9,6,3606,11.686,99999,99999,99999,99999,24.528,-26.790,99999
98,0.77,1,68,0.813,99999,99999,99999,99999,     X ,111111001,11000011,110000
 M  ,1,3,20,1745,11.360,560.56,556.35,203.18,7.0150,0.0000,99999,99999
0,958,1,6,3181,11.355,99999,99999,99999,99999,6.0824,-40.126,99999
98,0.75,3,69,0.950,99999,99999,99999,99999,     X ,111111001,11000011,110000
 M  ,1,3,20,1800,11.038,562.92,557.84,202.48,7.6919,0.0000,99999,99999
0,954,5,6,2648,11.012,99999,99999,99999,99999,0.5341,-43.307,99999
98,0.73,9,71,0.321,99999,99999,99999,99999,     X ,111111001,11000011,110000
 H  ,1,3,20,1800,11.393,588.88,583.02,202.09,8.0808,0.0000,99999,99999
0,957,0,6,0.301,11.468,99999,99999,99999,99999,21.3,-29.1,99999
9,8.7,6,   ,69.5,-0.0900,3.4900,7.1400,99999,     X ,111111001,11000011,111110
 M  ,1,3,20,1815,10.853,699.50,695.71,196.72,5.9684,0.0000,99999,99999
0,957,4,6,3065,10.760,99999,99999,99999,99999,0.000,-43.454,99999
98,0.71,9,72,0.632,99999,99999,99999,99999,     X ,111111001,11000011,110000
 M  ,1,3,20,1830,10.617,674.16,667.41,194.14,8.1080,0.0000,99999,99999
0,955,4,6,2779,10.487,99999,99999,99999,99999,0.000,-37.930,99999
