99,0.77,8,59,0.036,99999,99999,99999,99999,     B ,111111001,11111111,110000
 M  ,1,4,20,1230,9.3127,254.71,224.38,45.692,27.951,0.0000,99999,99999
0,743,7,2,7023,9.4327,320.28,267.50,57.436,32.881,702.33,471.47,99999
99,0.77,8,59,0.312,99999,99999,99999,99999,     B ,111111001,11111111,110000
 M  ,1,4,20,1245,9.3897,237.34,168.82,21.324,43.520,0.0000,99999,99999
0,740,2,2,6276,9.4439,280.39,169.52,40.700,50.933,532.83,344.21,99999
99,0.77,7,58,0.568,99999,99999,99999,99999,     B ,111111001,11111111,110000
 M  ,1,4,20,1300,9.6325,292.21,262.06,19.218,26.018,0.0000,99999,99999
0,728,5,2,4094,9.5576,346.80,253.82,26.418,41.941,746.82,483.50,99999
99,0.76,0,57,0.205,99999,99999,99999,99999,     B ,111111001,11111111,110000
 H  ,1,4,20,1300,9.352,259.18,205.03,26.677,37.024,0.0000,99999,99999
0,738,8,2,0.607,9.454,316.80,215.16,35.44,43.980,699.9,462.3,99999
9,9.7,7,   ,58.5,5.3470,5.4730,6.6780,99999,     B ,111111001,11111111,111110
 M  ,1,4,20,1315,9.9156,293.81,237.08,37.201,35.591,0.0000,99999,99999
0,734,2,2,5183,10.228,361.25,308.60,59.112,30.922,742.62,510.59,99999
99,0.76,1,55,0.659,99999,99999,99999,99999,     B ,111111001,11111111,110000
 M  ,1,4,20,1330,9.6320,304.33,260.42,47.741,30.767,0.0000,99999,99999
0,726,1,2,3659,9.8547,317.25,259.68,64.411,34.505,439.67,252.70,99999
99,0.76,6,57,0.347,99999,99999,99999,99999,     B ,111111001,11111111,110000
 M  ,1,4,20,1345,9.7605,271.66,254.22,29.736,20.520,0.0000,99999,99999
0,725,3,2,3512,9.9285,294.38,274.30,54.278,21.155,249.50,138.52,99999
99,0.75,7,56,0.485,99999,99999,99999,99999,     C ,111111001,11111111,110000
 M  ,1,4,20,1400,9.9000,274.85,259.76,31.397,18.978,0.0000,99999,99999
0,728,0,2,4015,10.057,296.61,270.71,51.786,23.936,539.15,342.53,99999
99,0.75,0,56,0.076,99999,99999,99999,99999,     B ,111111001,11111111,110000
 H  ,1,4,20,1400,9.802,286.16,250.92,36.536,28.426,0.0000,99999,99999
0,728,4,2,0.409,10.017,317.37,277.38,57.37,28.139,492.7,311.1,99999
9,9.7,6,   ,56.4,5.4940,5.4830,6.6850,99999,     B ,111111001,11111111,111110
 M  ,1,4,20,1415,10.278,331.41,297.32,50.652,25.981,0.0000,99999,99999
